power_mW,fidelity,visibility
20,0.004283249458235621,-0.9914335010835287
50,0.005371556096897672,-0.9892568878062047
100,0.0070486559591633,-0.9859026880816735
150,0.008299013706565836,-0.9834019725868683
200,0.009921539252549738,-0.9801569214949005
250,0.011089659457723054,-0.9778206810845539
