1.000000000000000000e+00,9.879788184797956285e-01,9.881767812213575475e-01,9.880027210529185311e-01,9.874419568137494663e-01,9.893303593964104525e-01,9.885874433722591226e-01,9.849085987193907377e-01,9.839633050443823414e-01,9.907340564713614794e-01,9.897041336980325621e-01,9.797848765218347689e-01,9.904862849793496515e-01,9.854770525611322718e-01,5.348861368028702268e-01,4.114766626089090273e-01,9.885441949005000506e-01,9.815665793409492634e-01,9.845493620118166422e-01,9.895841904265019195e-01,4.117361529598002612e-01,5.343565644659638014e-01,9.852559870699170164e-01,9.880953786993339483e-01,9.894905571788081833e-01,9.817808648992303322e-01,9.863204282594285610e-01,9.899998315234626034e-01,5.373887321199647404e-01,4.078367303505272545e-01,9.793682656572549883e-01,9.905586811546542858e-01,9.901283679750136901e-01,9.873222490107462779e-01,4.114368008385898001e-01,5.340375426613745979e-01
9.879788184797956285e-01,1.000000000000000000e+00,9.999759335313468389e-01,9.999660945368128440e-01,9.998955605179734585e-01,9.998421204394974948e-01,9.999795583199532212e-01,9.806978188683158626e-01,9.984786653482962127e-01,9.986639804774718465e-01,9.947076648625355899e-01,9.958458530757560156e-01,9.986021057693135194e-01,9.995040155912869873e-01,4.887439154849014811e-01,4.693266917582328279e-01,9.921614680629161631e-01,9.973805106637495532e-01,9.986408839658135195e-01,9.997940853079542167e-01,4.696752383959598709e-01,4.879258212842597087e-01,9.993782432590556652e-01,9.997660778357446709e-01,9.941964199997354035e-01,9.978676825352376101e-01,9.991220281796228120e-01,9.996264079018074566e-01,4.909842015021486095e-01,4.660425714892451610e-01,9.954211024385345441e-01,9.978568135333963918e-01,9.989560931967195190e-01,9.997395905864100429e-01,4.692528653259026017e-01,4.874468586219978250e-01
9.881767812213575475e-01,9.999759335313468389e-01,1.000000000000000000e+00,9.999284226152472810e-01,9.999160593847356004e-01,9.997916229518072351e-01,9.999607869706912400e-01,9.813749073767982223e-01,9.985939271916757232e-01,9.985421037423428681e-01,9.944355487294954665e-01,9.960830638541489090e-01,9.984506422828789418e-01,9.995576338206181299e-01,4.865820165348981874e-01,4.715082418148072163e-01,9.918712220410468294e-01,9.975383240264761309e-01,9.987626266653379936e-01,9.997522643343763615e-01,4.718479542294162221e-01,4.857718364860842963e-01,9.993991454623345483e-01,9.998155650706836983e-01,9.939262950770036964e-01,9.979891415736613647e-01,9.991252067421456662e-01,9.996555068791856957e-01,4.888390391869049112e-01,4.682118679116368809e-01,9.956832197506092497e-01,9.976999803813149104e-01,9.989100499342029593e-01,9.997297481545502906e-01,4.714214974417398341e-01,4.852984221133793130e-01
9.880027210529185311e-01,9.999660945368128440e-01,9.999284226152472810e-01,1.000000000000000000e+00,9.998637343200005301e-01,9.998292596700534274e-01,9.999619345583172780e-01,9.805021605190317180e-01,9.984968961659385078e-01,9.986069373946112604e-01,9.947268499280123022e-01,9.957290765063229188e-01,9.985579373884425625e-01,9.995007266440564253e-01,4.891422200302891210e-01,4.689094284089542763e-01,9.921803200595106231e-01,9.973437980697854588e-01,9.986270995688035779e-01,9.997698163327736198e-01,4.692537029781049251e-01,4.882842680612710096e-01,9.993599844592447878e-01,9.996009260834252119e-01,9.942441697557943270e-01,9.977929047289844089e-01,9.990560266249809418e-01,9.994342936009764644e-01,4.913411990438438237e-01,4.656164311010831947e-01,9.952618143264549966e-01,9.978320359517816041e-01,9.988931586166163168e-01,9.998064930908621140e-01,4.688426617929815077e-01,4.878009616323585318e-01
9.874419568137494663e-01,9.998955605179734585e-01,9.999160593847356004e-01,9.998637343200005301e-01,1.000000000000000000e+00,9.995182530704014301e-01,9.998796000650556071e-01,9.825239618402524799e-01,9.991387076212873142e-01,9.978855566788469300e-01,9.932291624442134426e-01,9.969967663282303105e-01,9.977944514768863904e-01,9.998338776974005082e-01,4.767769983383142729e-01,4.813677904209529013e-01,9.903890186595466494e-01,9.982781989589224469e-01,9.992706533266352276e-01,9.994844335364667653e-01,4.817087054856694639e-01,4.759532392147172719e-01,9.997445086049294716e-01,9.998073819698450881e-01,9.926679616172060516e-01,9.986653119827962888e-01,9.995148843668110183e-01,9.994754287774192392e-01,4.790388099531474042e-01,4.780988653105122110e-01,9.966392793148418638e-01,9.968998505333324101e-01,9.983172430184494850e-01,9.997840253551830703e-01,4.812927831511420451e-01,4.754740547030176789e-01
9.893303593964104525e-01,9.998421204394974948e-01,9.997916229518072351e-01,9.998292596700534274e-01,9.995182530704014301e-01,1.000000000000000000e+00,9.998579656222360557e-01,9.792494949169223695e-01,9.974360039471722450e-01,9.993712357136174118e-01,9.962863550976636118e-01,9.942085767256449991e-01,9.993264679148893270e-01,9.988304247385035861e-01,5.033839360526863871e-01,4.543697384459380872e-01,9.941439429014813367e-01,9.960083707232357808e-01,9.976542631872595823e-01,9.999426492563279201e-01,4.547139701683403090e-01,5.025655789761837022e-01,9.986425855518962225e-01,9.994664850045765769e-01,9.958492380694456969e-01,9.966023490967677034e-01,9.983771599504256411e-01,9.995573982526838597e-01,5.056026293895891088e-01,4.510514772339202505e-01,9.937049474212916733e-01,9.988089942873803473e-01,9.995250150361223440e-01,9.994904041175104448e-01,4.542916441254857274e-01,5.020989456507443105e-01
9.885874433722591226e-01,9.999795583199532212e-01,9.999607869706912400e-01,9.999619345583172780e-01,9.998796000650556071e-01,9.998579656222360557e-01,1.000000000000000000e+00,9.812671131869864505e-01,9.984540465772352436e-01,9.987172895059385214e-01,9.948273670051790418e-01,9.957542162164081390e-01,9.986515266554804038e-01,9.994628997569612316e-01,4.896500030585408392e-01,4.684224602671804849e-01,9.923100865131966319e-01,9.973280855133738187e-01,9.986206008967720704e-01,9.998458898031057362e-01,4.687622954692984290e-01,4.888424925551483891e-01,9.993665844163595047e-01,9.997262547461134297e-01,9.943596535742711406e-01,9.977949691503728014e-01,9.991627036484216351e-01,9.996263383794935509e-01,4.918956771732347355e-01,4.651270593013138721e-01,9.953407545852743787e-01,9.979534546513759707e-01,9.989702603847050444e-01,9.997945283061304700e-01,4.683510440996376256e-01,4.883614078890644583e-01
9.849085987193905156e-01,9.806978188683158626e-01,9.813749073767982223e-01,9.805021605190317180e-01,9.825239618402524799e-01,9.792494949169223695e-01,9.812671131869864505e-01,1.000000000000000000e+00,9.857622646656118981e-01,9.751567109370917752e-01,9.653027862126345449e-01,9.880313058022970329e-01,9.746987852626233240e-01,9.832728804042308868e-01,3.839325740679551124e-01,5.573646391276578793e-01,9.605453479925307736e-01,9.864828716188968061e-01,9.860687518329744883e-01,9.796238046851498682e-01,5.575621363900360450e-01,3.834958742758157735e-01,9.836572218366136378e-01,9.829347837583288783e-01,9.643916662655043215e-01,9.856222483499694764e-01,9.850259272308541370e-01,9.821848372161049445e-01,3.868167182406519466e-01,5.540724778174690446e-01,9.885364185220262279e-01,9.726845479961068186e-01,9.760625733861956199e-01,9.816932512226925756e-01,5.573259569247763778e-01,3.831730962533059226e-01
9.839633050443823414e-01,9.984786653482962127e-01,9.985939271916757232e-01,9.984968961659385078e-01,9.991387076212873142e-01,9.974360039471722450e-01,9.984540465772352436e-01,9.857622646656118981e-01,1.000000000000000000e+00,9.944017074191072725e-01,9.877206905470661269e-01,9.991757434155021933e-01,9.942582833984964230e-01,9.996886382408058935e-01,4.409947898333745897e-01,5.162421279792551720e-01,9.839663770985217495e-01,9.998136123583444279e-01,9.999756203881834393e-01,9.973905050778945069e-01,5.165660694514406792e-01,4.401328271074323450e-01,9.996969533621689052e-01,9.986282781913544682e-01,9.870480658597383661e-01,9.998288961492883820e-01,9.994725516991064262e-01,9.977047209474689815e-01,4.432709154013306785e-01,5.130278679735836844e-01,9.989474429612870132e-01,9.928827462017278949e-01,9.951535277927361367e-01,9.987904353598879847e-01,5.161769680431590457e-01,4.396295648959375191e-01
9.907340564713614794e-01,9.986639804774718465e-01,9.985421037423428681e-01,9.986069373946112604e-01,9.978855566788469300e-01,9.993712357136174118e-01,9.987172895059385214e-01,9.751567109370919972e-01,9.944017074191072725e-01,1.000000000000000000e+00,9.986276452000174553e-01,9.900283944708243578e-01,9.999784251566737892e-01,9.965853659760119942e-01,5.323034524684984170e-01,4.239723551688585057e-01,9.972047423447063519e-01,9.924335069306656765e-01,9.947400194818125652e-01,9.994006126866306072e-01,4.243263805633147312e-01,5.315553175792506746e-01,9.963695623358364006e-01,9.980806637637817946e-01,9.983160487468317745e-01,9.932755000719211136e-01,9.962225539825848575e-01,9.988181574293754084e-01,5.345282425495546663e-01,4.205948876652873536e-01,9.894785302573007035e-01,9.998723890998238994e-01,9.998370338556317183e-01,9.979476539372851285e-01,4.238939112481445726e-01,5.311009965201329841e-01
