,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",93401013218.0,-92417744568.0,-860306043.0,796555658.0,-403680404.0,2362005790.0,-91043545591.0,95308986605.0,3753925213.0,-2400688227.0,8166748473.0,16856034.0,1776798866.0,1413529723.0,98975174.0,2479133616.0,831348241.0,2895131891.0,2157356249.0,3568292736.0,-3526584857.0,92358748449.0,-90485135439.0,4612718535.0,350951272.0,-1346537793.0,6300050759.0,-93563954880.0,97046238622.0,-2148063820.0,3575856341.0,-1069277644.0,3004912215.0,-3128307028.0,5996426044.0,-93572599.0
"a,d",-92417744568.0,91444827168.0,851249268.0,-788170008.0,399430704.0,-2337140040.0,90085094916.0,-94305631980.0,-3714406188.0,2375415252.0,-8080773948.0,-16678584.0,-1758093816.0,-1398648948.0,-97933224.0,-2453034816.0,-822596316.0,-2864653716.0,-2134644924.0,-3530727936.0,3489459132.0,-91386452124.0,89532563364.0,-4564158660.0,-347256672.0,1332362268.0,-6233727684.0,92578970880.0,-96024595272.0,2125450320.0,-3538211916.0,1058020944.0,-2973278340.0,3095374128.0,-5933299344.0,92587524.0
"a,h",-860306043.0,851249268.0,7924180.5,-7336983.0,3718254.0,-21756165.0,838591678.5,-877880167.5,-34576975.5,22112464.5,-75222985.5,-155259.0,-16365891.0,-13019860.5,-911649.0,-22835016.0,-7657453.5,-26666728.5,-19871161.5,-32867136.0,32482969.5,-850705861.5,833448226.5,-42487222.5,-3232572.0,12402805.5,-58029046.5,861806880.0,-893881797.0,19785570.0,-32936803.5,9848994.0,-27677902.5,28814478.0,-55232394.0,861886.5
"a,l",796555658.0,-788170008.0,-7336983.0,6793298.0,-3442724.0,20143990.0,-776450371.0,812827505.0,32014753.0,-20473887.0,69648813.0,143754.0,15153146.0,12055063.0,844094.0,21142896.0,7090021.0,24690671.0,18398669.0,30431616.0,-30075917.0,787666869.0,-771688059.0,39338835.0,2993032.0,-11483733.0,53728979.0,-797945280.0,827643382.0,-18319420.0,30496121.0,-9119164.0,25626915.0,-26679268.0,51139564.0,-798019.0
"a,r",-403680404.0,399430704.0,3718254.0,-3442724.0,1744712.0,-10208620.0,393491398.0,-411926690.0,-16224514.0,10375806.0,-35296794.0,-72852.0,-7679348.0,-6109294.0,-427772.0,-10714848.0,-3593098.0,-12512798.0,-9324122.0,-15422208.0,15241946.0,-399175722.0,391077942.0,-19936230.0,-1516816.0,5819754.0,-27228902.0,404384640.0,-419435116.0,9283960.0,-15454898.0,4621432.0,-12987270.0,13520584.0,-25916632.0,404422.0
"a,v",2362005790.0,-2337140040.0,-21756165.0,20143990.0,-10208620.0,59732450.0,-2302388105.0,2410256275.0,94932515.0,-60710685.0,206527815.0,426270.0,44933230.0,35746565.0,2502970.0,62694480.0,21023855.0,73214605.0,54557095.0,90238080.0,-89183335.0,2335648095.0,-2288266545.0,116650425.0,8875160.0,-34052415.0,159321145.0,-2366126400.0,2454189410.0,-54322100.0,90429355.0,-27040820.0,75990825.0,-79111340.0,151642820.0,-2366345.0
"d,a",-91043545591.0,90085094916.0,838591678.5,-776450371.0,393491398.0,-2302388105.0,88745581104.5,-92903361197.5,-3659175093.5,2340094186.5,-7960617463.5,-16430583.0,-1731951967.0,-1377851838.5,-96477013.0,-2416559592.0,-810364779.5,-2822057954.5,-2102903975.5,-3478228032.0,3437572871.5,-90027587875.5,88201265380.5,-4496292232.5,-342093164.0,1312550803.5,-6141035720.5,91202374560.0,-94596764489.0,2093846090.0,-3485600729.5,1042288778.0,-2929067392.5,3049347686.0,-5845074578.0,91210800.5
"d,d",95308986605.0,-94305631980.0,-877880167.5,812827505.0,-411926690.0,2410256275.0,-92903361197.5,97255935612.5,3830609492.5,-2449728907.5,8333576842.5,17200365.0,1813094885.0,1442404967.5,100997015.0,2529776760.0,848330822.5,2954272947.5,2201426202.5,3641184960.0,-3598625082.5,94245430702.5,-92333543977.5,4706946037.5,358120420.0,-1374044542.5,6428746677.5,-95475256800.0,99028675795.0,-2191943950.0,3648903072.5,-1091120590.0,3066295837.5,-3192211330.0,6118919590.0,-95484077.5
"d,h",3753925213.0,-3714406188.0,-34576975.5,32014753.0,-16224514.0,94932515.0,-3659175093.5,3830609492.5,150875820.5,-96487219.5,328233730.5,677469.0,71412181.0,56811855.5,3977959.0,99640056.0,33413118.5,116359643.5,86707346.5,143414976.0,-141738674.5,3712035046.5,-3636731761.5,185391997.5,14105252.0,-54119350.5,253208381.5,-3760474080.0,3900432227.0,-86333870.0,143718968.5,-42975854.0,120771877.5,-125731298.0,241005254.0,-3760821.5
"d,l",-2400688227.0,2375415252.0,22112464.5,-20473887.0,10375806.0,-60710685.0,2340094186.5,-2449728907.5,-96487219.5,61704940.5,-209910109.5,-433251.0,-45669099.0,-36331984.5,-2543961.0,-63721224.0,-21368161.5,-74413636.5,-55450573.5,-91715904.0,90643885.5,-2373898873.5,2325741358.5,-118560802.5,-9020508.0,34610089.5,-161930338.5,2404876320.0,-2494381533.0,55211730.0,-91910311.5,27483666.0,-77235322.5,80406942.0,-154126266.0,2405098.5
"d,r",8166748473.0,-8080773948.0,-75222985.5,69648813.0,-35296794.0,206527815.0,-7960617463.5,8333576842.5,328233730.5,-209910109.5,714079840.5,1473849.0,155358801.0,123595465.5,8654139.0,216769176.0,72690988.5,253143013.5,188633776.5,312002496.0,-308355664.5,8075615476.5,-7911791491.5,403324447.5,30686292.0,-117737860.5,550860511.5,-8180995680.0,8485477767.0,-187821270.0,312663838.5,-93494934.0,262741927.5,-273531258.0,524312334.0,-8181751.5
"d,v",16856034.0,-16678584.0,-155259.0,143754.0,-72852.0,426270.0,-16430583.0,17200365.0,677469.0,-433251.0,1473849.0,3042.0,320658.0,255099.0,17862.0,447408.0,150033.0,522483.0,389337.0,643968.0,-636441.0,16667937.0,-16329807.0,832455.0,63336.0,-243009.0,1136967.0,-16885440.0,17513886.0,-387660.0,645333.0,-192972.0,542295.0,-564564.0,1082172.0,-16887.0
"h,a",1776798866.0,-1758093816.0,-16365891.0,15153146.0,-7679348.0,44933230.0,-1731951967.0,1813094885.0,71412181.0,-45669099.0,155358801.0,320658.0,33800642.0,26890051.0,1882838.0,47161392.0,15815017.0,55075067.0,41040113.0,67880832.0,-67087409.0,1756971513.0,-1721329143.0,87749295.0,6676264.0,-25615641.0,119847983.0,-1779898560.0,1846143214.0,-40863340.0,68024717.0,-20341228.0,57163455.0,-59510836.0,114072028.0,-1780063.0
"h,d",1413529723.0,-1398648948.0,-13019860.5,12055063.0,-6109294.0,35746565.0,-1377851838.5,1442404967.5,56811855.5,-36331984.5,123595465.5,255099.0,26890051.0,21392340.5,1497889.0,37519176.0,12581613.5,43814888.5,32649401.5,54002496.0,-53371289.5,1397756101.5,-1369400866.5,69808822.5,5311292.0,-20378485.5,95344886.5,-1415995680.0,1468696517.0,-32508770.0,54116963.5,-16182434.0,45476302.5,-47343758.0,90749834.0,-1416126.5
"h,h",98975174.0,-97933224.0,-911649.0,844094.0,-427772.0,2502970.0,-96477013.0,100997015.0,3977959.0,-2543961.0,8654139.0,17862.0,1882838.0,1497889.0,104882.0,2627088.0,880963.0,3067913.0,2286107.0,3781248.0,-3737051.0,97870707.0,-95885277.0,4888005.0,371896.0,-1426899.0,6676037.0,-99147840.0,102837946.0,-2276260.0,3789263.0,-1133092.0,3184245.0,-3315004.0,6354292.0,-99157.0
"h,l",2479133616.0,-2453034816.0,-22835016.0,21142896.0,-10714848.0,62694480.0,-2416559592.0,2529776760.0,99640056.0,-63721224.0,216769176.0,447408.0,47161392.0,37519176.0,2627088.0,65803392.0,22066392.0,76845192.0,57262488.0,94712832.0,-93605784.0,2451468888.0,-2401737768.0,122434920.0,9315264.0,-35741016.0,167221608.0,-2483458560.0,2575888464.0,-57015840.0,94913592.0,-28381728.0,79759080.0,-83034336.0,159162528.0,-2483688.0
