,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",5210265280.5,-5489315880.29958,-224458533.89860213,-246760980.17555976,-179343287.88297153,-35168434.94840555,-5452774572.440765,5265975042.580528,99615914.29059932,-223233685.59048545,219089659.67814586,-197103588.35066321,-24399976.906213187,-70433859.15293127,0.0,0.0,-151273847.48863125,-100136430.62476042,-148262762.06451112,-171432809.22638473,-456210040.8635098,5088218931.865097,-5365044812.37191,74557559.32037917,-117284306.93839376,-191234523.54093748,297633057.4361271,-5645943357.699998,5327982988.178935,-396090403.07345,57664859.73760347,-164492002.14705694,-83703049.15752846,-348882707.86478686,197501708.2475896,0.0
"a,d",-5489315880.29958,5784469240.5,236504161.8243146,260003474.91335696,188967793.92794514,37055758.51251111,5745399194.792151,-5548575017.654555,-104961829.28648402,235213581.70043123,-230847165.53693753,207681205.72425348,25709408.256703466,74213711.24598542,0.0,0.0,159391999.42228544,105510279.25015625,156219323.28440556,180632797.29453194,480692676.097407,-5361279577.175986,5652961393.419008,-78558710.91870414,123578400.98452291,201497175.96397918,-313605615.9809562,5948934435.162918,-5613910636.426149,417346701.6834667,-60759460.04347987,173319509.92585972,88194995.9213882,367605592.74212986,-208100690.85349372,0.0
"a,h",-224458533.89860213,236504161.8243146,9671202.0,0.0,0.0,0.0,234929799.63132846,-226881644.42467847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19655559.209384024,-219223119.95795977,231150011.07023472,0.0,0.0,0.0,-12823356.925529163,243252370.72134578,-229553222.7270223,17065337.612543754,0.0,0.0,0.0,15031419.974956945,0.0,0.0
"a,l",-246760980.17555976,260003474.91335696,0.0,11688612.5,0.0,0.0,258272682.36497086,-249424853.62293613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21608557.145426385,-241005369.7597674,254117329.86402708,0.0,0.0,0.0,-14097499.743136806,267422193.25273818,-252361882.87752992,18760968.287886113,0.0,0.0,0.0,16524958.361549303,0.0,0.0
"a,r",-179343287.88297153,188967793.92794514,0.0,0.0,6174098.0,0.0,187709872.08775902,-181279363.1174479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15704872.309014577,-175160170.70212922,184689805.54686528,0.0,0.0,0.0,0.0,194359640.4747764,-183413965.1227917,13635274.644574307,0.0,0.0,0.0,0.0,0.0,0.0
"a,v",-35168434.94840555,37055758.51251111,0.0,0.0,0.0,237360.5,36809085.53732495,-35548090.840381935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34348143.95131323,36216863.68768121,0.0,0.0,0.0,0.0,38113076.0555923,-35966676.96447572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,a",-5452774572.440765,5745399194.792151,234929799.63132846,258272682.36497086,187709872.08775902,36809085.53732495,5707713324.5,-5511639233.247342,-104263118.80947019,233647810.64824513,-229310460.8677237,206298712.34246734,25538265.727717303,73719685.00859925,0.0,0.0,158330957.8920993,104807917.8483701,155179401.64201942,179430359.9053458,477492798.4722209,-5325590582.0773735,5615330729.216822,-78035760.86389032,122755763.61153677,200155848.46519303,-311518004.4079424,5909333536.003933,-5576539925.515936,414568505.8858806,-60354996.13886604,172165755.66787356,87607898.99200204,365158513.8295437,-206715405.0408799,0.0
"d,d",5265975042.580528,-5548575017.654555,-226881644.42467847,-249424853.62293613,-181279363.1174479,-35548090.840381935,-5511639233.247342,5323365744.5,100691303.8795229,-225643573.4389618,221454811.27796945,-199231392.4103396,-24663383.424289577,-71194217.97080764,0.0,0.0,-152906903.02810764,-101217439.3744368,-149863311.85488752,-173283488.00136113,-461134992.18048614,5143148083.539221,-5422962398.895386,75362434.96340275,-118550433.17447014,-193298968.93711388,300846113.23705065,-5706893344.9530735,5385500478.993258,-400366341.2982264,58287372.61872709,-166267752.41563332,-84606653.64940485,-352649022.0570632,199633810.15471315,0.0
"d,h",99615914.29059932,-104961829.28648402,0.0,0.0,0.0,0.0,-104263118.80947019,100691303.8795229,1905152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97292409.19874163,-102585628.15306392,0.0,0.0,0.0,0.0,-107956720.98195285,101876964.81467913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,l",-223233685.59048545,235213581.70043123,0.0,0.0,0.0,0.0,233647810.64824513,-225643573.4389618,0.0,9565938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19548300.741500687,-218026840.7926431,229888648.02435136,0.0,0.0,0.0,-12753381.118612498,241924966.28026247,-228300573.1993056,16972213.731060416,0.0,0.0,0.0,14949394.98347361,0.0,0.0
