,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",23117875312.5,-22946500387.5,-292111462.5,-292864050.0,177503137.5,491117100.0,-22641702450.0,23547925312.5,785163787.5,-503588550.0,1718264775.0,-26233050.0,453487725.0,45907837.5,25910512.5,466496737.5,153635362.5,560355150.0,265985925.0,283833000.0,-1146190762.5,22663850025.0,-22368728212.5,1053730012.5,95901150.0,551646637.5,1667411362.5,-23285057250.0,23837348962.5,-528316425.0,770219550.0,-186319162.5,692380500.0,-1037065575.0,1533450787.5,-37736887.5
"a,d",-22946500387.5,22776395880.5,289946013.5,290693022.0,-176187290.5,-487476404.0,22473857438.0,-23373362387.5,-779343296.5,499855402.0,-1705527121.0,26038582.0,-450125979.0,-45567518.5,-25718435.5,-463038554.5,-152496449.5,-556201186.0,-264014147.0,-281728920.0,1137693945.5,-22495840831.0,22202906783.5,-1045918615.5,-95190226.0,-547557230.5,-1655050689.5,23112442990.0,-23660640513.5,524399967.0,-764509842.0,184937961.5,-687247820.0,1029377713.0,-1522083176.5,37457140.5
"a,h",-292111462.5,289946013.5,3691044.5,3700554.0,-2242883.5,-6205628.0,286094666.0,-297545462.5,-9921125.5,6363214.0,-21711547.0,331474.0,-5730153.0,-580079.5,-327398.5,-5894531.5,-1941296.5,-7080502.0,-3360929.0,-3586440.0,14482968.5,-286374517.0,282645434.5,-13314658.5,-1211782.0,-6970463.5,-21068976.5,294223930.0,-301202544.5,6675669.0,-9732294.0,2354280.5,-8748740.0,13104091.0,-19376285.5,476833.5
"a,l",-292864050.0,290693022.0,3700554.0,3710088.0,-2248662.0,-6221616.0,286831752.0,-298312050.0,-9946686.0,6379608.0,-21767484.0,332328.0,-5744916.0,-581574.0,-328242.0,-5909718.0,-1946298.0,-7098744.0,-3369588.0,-3595680.0,14520282.0,-287112324.0,283373634.0,-13348962.0,-1214904.0,-6988422.0,-21123258.0,294981960.0,-301978554.0,6692868.0,-9757368.0,2360346.0,-8771280.0,13137852.0,-19426206.0,478062.0
"a,r",177503137.5,-176187290.5,-2242883.5,-2248662.0,1362900.5,3770884.0,-173846998.0,180805137.5,6028626.5,-3866642.0,13193141.0,-201422.0,3481959.0,352488.5,198945.5,3581844.5,1179639.5,4302506.0,2042287.0,2179320.0,-8800655.5,174017051.0,-171751053.5,8090725.5,736346.0,4235640.5,12802679.5,-178786790.0,183027383.5,-4056507.0,5913882.0,-1430591.5,5316220.0,-7962773.0,11774106.5,-289750.5
"a,v",491117100.0,-487476404.0,-6205628.0,-6221616.0,3770884.0,10433312.0,-481001264.0,500253100.0,16680052.0,-10698256.0,36502888.0,-557296.0,9633912.0,975268.0,550444.0,9910276.0,3263836.0,11904208.0,5650616.0,6029760.0,-24349724.0,481471768.0,-475202188.0,22385484.0,2037328.0,11719204.0,35422556.0,-494668720.0,506401628.0,-11223576.0,16362576.0,-3958172.0,14708960.0,-22031464.0,32576692.0,-801684.0
"d,a",-22641702450.0,22473857438.0,286094666.0,286831752.0,-173846998.0,-481001264.0,22175337608.0,-23062894450.0,-768991294.0,493215832.0,-1682872636.0,25692712.0,-444146964.0,-44962246.0,-25376818.0,-456888022.0,-150470842.0,-548813176.0,-260507252.0,-277986720.0,1122581978.0,-22197028996.0,21907985986.0,-1032025698.0,-93925816.0,-540284038.0,-1633066682.0,22805440840.0,-23346356666.0,517434372.0,-754354872.0,182481434.0,-678119120.0,1015704508.0,-1501865374.0,36959598.0
"d,d",23547925312.5,-23373362387.5,-297545462.5,-298312050.0,180805137.5,500253100.0,-23062894450.0,23985975312.5,799769787.5,-512956550.0,1750228775.0,-26721050.0,461923725.0,46761837.5,26392512.5,475174737.5,156493362.5,570779150.0,270933925.0,289113000.0,-1167512762.5,23085454025.0,-22784842212.5,1073332012.5,97685150.0,561908637.5,1698429362.5,-23718217250.0,24280782962.5,-538144425.0,784547550.0,-189785162.5,705260500.0,-1056357575.0,1561976787.5,-38438887.5
"d,h",785163787.5,-779343296.5,-9921125.5,-9946686.0,6028626.5,16680052.0,-768991294.0,799769787.5,26666904.5,-17103626.0,58358273.0,-890966.0,15402027.0,1559190.5,880011.5,15843858.5,5217993.5,19031618.0,9033811.0,9639960.0,-38928641.5,769743503.0,-759720135.5,35788351.5,3257138.0,18735846.5,56631113.5,-790841870.0,809599625.5,-17943471.0,26159346.0,-6328049.5,23515660.0,-35222369.0,52081344.5,-1281676.5
"d,l",-503588550.0,499855402.0,6363214.0,6379608.0,-3866642.0,-10698256.0,493215832.0,-512956550.0,-17103626.0,10969928.0,-37429844.0,571448.0,-9878556.0,-1000034.0,-564422.0,-10161938.0,-3346718.0,-12206504.0,-5794108.0,-6182880.0,24968062.0,-493698284.0,487269494.0,-22953942.0,-2089064.0,-12016802.0,-36322078.0,507230360.0,-519261214.0,11508588.0,-16778088.0,4058686.0,-15082480.0,22590932.0,-33403946.0,822042.0
"d,r",1718264775.0,-1705527121.0,-21711547.0,-21767484.0,13193141.0,36502888.0,-1682872636.0,1750228775.0,58358273.0,-37429844.0,127712162.0,-1949804.0,33706038.0,3412157.0,1925831.0,34672949.0,11419139.0,41649092.0,19769734.0,21096240.0,-85192051.0,1684518782.0,-1662583487.0,78319791.0,7127972.0,41001821.0,123932419.0,-1730690780.0,1771740547.0,-39267774.0,57247524.0,-13848403.0,51462040.0,-77081186.0,113975633.0,-2804841.0
