power_mW,n_files,n_bases,snr_raw,snr_denoised,improvement_dB
20.0,2,36,0.3747996890227877,0.3737633979123663,-0.02404905110955957
50.0,2,36,0.3955436450445857,0.3937998336753327,-0.038377659795549184
100.0,2,36,0.3755977548724717,0.37438249896120435,-0.028148975687637447
150.0,2,36,0.37597632172686907,0.37490859038502783,-0.02470206205904897
200.0,2,36,0.37723628358627126,0.37567278774422813,-0.03607440093778654
250.0,2,36,0.37908460385196546,0.37775657934601653,-0.030482184083163458
