,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",23117875312.5,-22944205637.93034,-292068994.6358197,-292821507.3141565,177498916.64634705,491081699.890413,-22639438003.203934,23545597622.472744,785099153.497722,-503525057.248462,1718107372.82417,0.0,453456065.97357273,0.0,0.0,466463785.12768036,153633514.5619512,560312866.297399,265972907.2565172,283818207.91421854,-1146063382.7369027,22661610229.04938,-22366490904.590057,1053638677.8527706,95905041.9523991,551605219.5909303,1667259016.1308403,-23282728841.370712,23834992498.198837,-528250473.82238567,770156401.7421768,-186287212.42390296,692325090.4399129,-1036949044.3780661,1533311759.3868885,0.0
"a,d",-22944205637.93034,22776395880.5,289903522.40738595,290650455.76944923,-176182895.5200474,-487440697.9683814,22471583575.598076,-23371024701.966454,-779278233.0030723,499791797.14714354,-1705368897.1954243,0.0,-450094029.86522174,0.0,0.0,-463005306.5523141,-152494437.46604323,-556158567.2781954,-264000917.9454773,-281713909.1029759,1137566183.5831027,-22493591411.07422,22200660174.70115,-1045826738.4936237,-95193978.11919534,-547515481.231464,-1654897542.8731544,23110104895.396095,-23658273932.06275,524333893.32922006,-764446270.5278175,184906032.65450263,-687192019.9372815,1029260846.0839393,-1521943404.4259057,0.0
"a,h",-292068994.6358197,289903522.40738595,3691044.5000000005,0.0,0.0,0.0,286052737.0622922,-297502201.4719304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-286332886.51859504,282604009.02307093,0.0,0.0,0.0,0.0,294180814.4891145,-301158749.67263335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,l",-292821507.3141565,290650455.76944923,0.0,3710087.9999999995,0.0,0.0,286789748.9166055,-298268712.7502672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-287070620.17498195,283332135.2660341,0.0,0.0,0.0,0.0,294938768.2490277,-301934682.0087702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,r",177498916.64634705,-176182895.5200474,0.0,0.0,1362900.5,0.0,-173842660.02914116,180800836.21023637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174012915.0667717,-171746766.5859625,0.0,0.0,0.0,0.0,-178782331.69671887,183023028.07673332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,v",491081699.890413,-487440697.9683814,0.0,0.0,0.0,10433312.0,-480966028.4622252,500217036.05430233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481437068.7353876,-475167373.83219653,0.0,0.0,0.0,0.0,-494632491.3634029,506365117.29259926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,a",-22639438003.203934,22471583575.598076,286052737.0622922,286789748.9166055,-173842660.02914116,-480966028.4622252,22175337608.0,-23060587634.240047,-768927088.6831663,493153068.1242999,-1682716500.6237683,0.0,-444115435.7465655,0.0,0.0,-456855212.0854079,-150468855.50663698,-548771119.0590391,-260494196.61482108,-277971906.3028196,1122455904.3000088,-22194809280.23756,21905769046.301056,-1031935033.2652177,-93929517.54003909,-540242839.0305579,-1632915556.7537484,22803133622.631256,-23344021335.92735,517369171.90887636,-754292139.0046613,182449927.8274089,-678064055.7871252,1015589185.4245956,-1501727446.6859994,0.0
"d,d",23545597622.472744,-23371024701.966454,-297502201.4719304,-298268712.7502672,180800836.21023637,500217036.05430233,-23060587634.240047,23985975312.5,799703942.6616113,-512891870.6845727,1750068426.1880593,0.0,461891472.1374621,0.0,0.0,475141167.0915697,156491478.52584052,570736073.6612884,270920662.22040653,289097929.67810786,-1167383000.7730136,23083172318.41327,-22782563043.42617,1073238967.4166601,97689113.31628844,561866443.1548197,1698274164.0947294,-23715845275.606827,24278382404.56273,-538077241.2584964,784483218.7060661,-189752616.06001365,705204052.2038023,-1056238865.414177,1561835156.5507782,0.0
"d,h",785099153.497722,-779278233.0030723,0.0,0.0,0.0,0.0,-768927088.6831663,799703942.6616113,26666904.5,0.0,58353891.11073819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769680147.3379467,-759656698.7613875,0.0,0.0,0.0,56626874.79210834,-790775853.2723439,809532965.7689083,0.0,0.0,0.0,0.0,0.0,52077482.96755694,0.0
"d,l",-503525057.248462,499791797.14714354,0.0,0.0,0.0,0.0,493153068.1242999,-512891870.6845727,0.0,10969927.999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-493636043.96328735,487207483.29572845,0.0,0.0,0.0,0.0,507165821.0247221,-519195736.12707573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
