,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",893038322.0,-913535392.0,-14073246.0,-7416981.0,-17834564.0,2049707.0,-895172553.0,902314831.0,22272074.0,-36704547.0,55173041.0,-6127990.0,5451798.0,-6212514.0,359227.0,6909837.0,-19567306.0,5050309.0,-24427436.0,-3507746.0,-54285539.0,874147208.0,-886656760.0,20053319.0,20180105.0,-10269666.0,36387582.0,-919621120.0,926446433.0,-47417964.0,20222367.0,-16334263.0,-253572.0,-59145669.0,46298021.0,-760716.0
"a,d",-913535392.0,934502912.0,14396256.0,7587216.0,18243904.0,-2096752.0,915718608.0,-923024816.0,-22783264.0,37546992.0,-56439376.0,6268640.0,-5576928.0,6355104.0,-367472.0,-7068432.0,20016416.0,-5166224.0,24988096.0,3588256.0,55531504.0,-894210688.0,907007360.0,-20513584.0,-20643280.0,10505376.0,-37222752.0,940728320.0,-947710288.0,48506304.0,-20686512.0,16709168.0,259392.0,60503184.0,-47360656.0,778176.0
"a,h",-14073246.0,14396256.0,221778.0,116883.0,281052.0,-32301.0,14106879.0,-14219433.0,-350982.0,578421.0,-869463.0,96570.0,-85914.0,97902.0,-5661.0,-108891.0,308358.0,-79587.0,384948.0,55278.0,855477.0,-13775544.0,13972680.0,-316017.0,-318015.0,161838.0,-573426.0,14492160.0,-14599719.0,747252.0,-318681.0,257409.0,3996.0,932067.0,-729603.0,11988.0
"a,l",-7416981.0,7587216.0,116883.0,61600.5,148122.0,-17023.5,7434706.5,-7494025.5,-184977.0,304843.5,-458230.5,50895.0,-45279.0,51597.0,-2983.5,-57388.5,162513.0,-41944.5,202878.0,29133.0,450859.5,-7260084.0,7363980.0,-166549.5,-167602.5,85293.0,-302211.0,7637760.0,-7694446.5,393822.0,-167953.5,135661.5,2106.0,491224.5,-384520.5,6318.0
"a,r",-17834564.0,18243904.0,281052.0,148122.0,356168.0,-40934.0,17877186.0,-18019822.0,-444788.0,733014.0,-1101842.0,122380.0,-108876.0,124068.0,-7174.0,-137994.0,390772.0,-100858.0,487832.0,70052.0,1084118.0,-17457296.0,17707120.0,-400478.0,-403010.0,205092.0,-726684.0,18365440.0,-18501746.0,946968.0,-403854.0,326206.0,5064.0,1181178.0,-924602.0,15192.0
"a,v",2049707.0,-2096752.0,-32301.0,-17023.5,-40934.0,4704.5,-2054605.5,2070998.5,51119.0,-84244.5,126633.5,-14065.0,12513.0,-14259.0,824.5,15859.5,-44911.0,11591.5,-56066.0,-8051.0,-124596.5,2006348.0,-2035060.0,46026.5,46317.5,-23571.0,83517.0,-2110720.0,2126385.5,-108834.0,46414.5,-37490.5,-582.0,-135751.5,106263.5,-1746.0
"d,a",-895172553.0,915718608.0,14106879.0,7434706.5,17877186.0,-2054605.5,897311884.5,-904471231.5,-22325301.0,36792265.5,-55304896.5,6142635.0,-5464827.0,6227361.0,-360085.5,-6926350.5,19614069.0,-5062378.5,24485814.0,3516129.0,54415273.5,-876236292.0,888775740.0,-20101243.5,-20228332.5,10294209.0,-36474543.0,921818880.0,-928660504.5,47531286.0,-20270695.5,16373299.5,254178.0,59287018.5,-46408666.5,762534.0
"d,d",902314831.0,-923024816.0,-14219433.0,-7494025.5,-18019822.0,2070998.5,-904471231.5,911687700.5,22503427.0,-37085818.5,55746155.5,-6191645.0,5508429.0,-6277047.0,362958.5,6981613.5,-19770563.0,5102769.5,-24681178.0,-3544183.0,-54849434.5,883227484.0,-895866980.0,20261624.5,20389727.5,-10376343.0,36765561.0,-929173760.0,936069971.5,-47910522.0,20432428.5,-16503936.5,-256206.0,-59760049.5,46778945.5,-768618.0
"d,h",22272074.0,-22783264.0,-350982.0,-184977.0,-444788.0,51119.0,-22325301.0,22503427.0,555458.0,-915399.0,1375997.0,-152830.0,135966.0,-154938.0,8959.0,172329.0,-488002.0,125953.0,-609212.0,-87482.0,-1353863.0,21800936.0,-22112920.0,500123.0,503285.0,-256122.0,907494.0,-22935040.0,23105261.0,-1182588.0,504339.0,-407371.0,-6324.0,-1475073.0,1154657.0,-18972.0
"d,l",-36704547.0,37546992.0,578421.0,304843.5,733014.0,-84244.5,36792265.5,-37085818.5,-915399.0,1508584.5,-2267653.5,251865.0,-224073.0,255339.0,-14764.5,-283999.5,804231.0,-207571.5,1003986.0,144171.0,2231176.5,-35928108.0,36442260.0,-824206.5,-829417.5,422091.0,-1495557.0,37797120.0,-38077645.5,1948914.0,-831154.5,671350.5,10422.0,2430931.5,-1902883.5,31266.0
"d,r",55173041.0,-56439376.0,-869463.0,-458230.5,-1101842.0,126633.5,-55304896.5,55746155.5,1375997.0,-2267653.5,3408660.5,-378595.0,336819.0,-383817.0,22193.5,426898.5,-1208893.0,312014.5,-1509158.0,-216713.0,-3353829.5,54005924.0,-54778780.0,1238919.5,1246752.5,-634473.0,2248071.0,-56815360.0,57237036.5,-2929542.0,1249363.5,-1009151.5,-15666.0,-3654094.5,2860350.5,-46998.0
"d,v",-6127990.0,6268640.0,96570.0,50895.0,122380.0,-14065.0,6142635.0,-6191645.0,-152830.0,251865.0,-378595.0,42050.0,-37410.0,42630.0,-2465.0,-47415.0,134270.0,-34655.0,167620.0,24070.0,372505.0,-5998360.0,6084200.0,-137605.0,-138475.0,70470.0,-249690.0,6310400.0,-6357235.0,325380.0,-138765.0,112085.0,1740.0,405855.0,-317695.0,5220.0
"h,a",5451798.0,-5576928.0,-85914.0,-45279.0,-108876.0,12513.0,-5464827.0,5508429.0,135966.0,-224073.0,336819.0,-37410.0,33282.0,-37926.0,2193.0,42183.0,-119454.0,30831.0,-149124.0,-21414.0,-331401.0,5336472.0,-5412840.0,122421.0,123195.0,-62694.0,222138.0,-5614080.0,5655747.0,-289476.0,123453.0,-99717.0,-1548.0,-361071.0,282639.0,-4644.0
"h,d",-6212514.0,6355104.0,97902.0,51597.0,124068.0,-14259.0,6227361.0,-6277047.0,-154938.0,255339.0,-383817.0,42630.0,-37926.0,43218.0,-2499.0,-48069.0,136122.0,-35133.0,169932.0,24402.0,377643.0,-6081096.0,6168120.0,-139503.0,-140385.0,71442.0,-253134.0,6397440.0,-6444921.0,329868.0,-140679.0,113631.0,1764.0,411453.0,-322077.0,5292.0
"h,h",359227.0,-367472.0,-5661.0,-2983.5,-7174.0,824.5,-360085.5,362958.5,8959.0,-14764.5,22193.5,-2465.0,2193.0,-2499.0,144.5,2779.5,-7871.0,2031.5,-9826.0,-1411.0,-21836.5,351628.0,-356660.0,8066.5,8117.5,-4131.0,14637.0,-369920.0,372665.5,-19074.0,8134.5,-6570.5,-102.0,-23791.5,18623.5,-306.0
"h,l",6909837.0,-7068432.0,-108891.0,-57388.5,-137994.0,15859.5,-6926350.5,6981613.5,172329.0,-283999.5,426898.5,-47415.0,42183.0,-48069.0,2779.5,53464.5,-151401.0,39076.5,-189006.0,-27141.0,-420031.5,6763668.0,-6860460.0,155161.5,156142.5,-79461.0,281547.0,-7115520.0,7168330.5,-366894.0,156469.5,-126385.5,-1962.0,-457636.5,358228.5,-5886.0
"h,r",-19567306.0,20016416.0,308358.0,162513.0,390772.0,-44911.0,19614069.0,-19770563.0,-488002.0,804231.0,-1208893.0,134270.0,-119454.0,136122.0,-7871.0,-151401.0,428738.0,-110657.0,535228.0,76858.0,1189447.0,-19153384.0,19427480.0,-439387.0,-442165.0,225018.0,-797286.0,20149760.0,-20299309.0,1038972.0,-443091.0,357899.0,5556.0,1295937.0,-1014433.0,16668.0
"h,v",5050309.0,-5166224.0,-79587.0,-41944.5,-100858.0,11591.5,-5062378.5,5102769.5,125953.0,-207571.5,312014.5,-34655.0,30831.0,-35133.0,2031.5,39076.5,-110657.0,28560.5,-138142.0,-19837.0,-306995.5,4943476.0,-5014220.0,113405.5,114122.5,-58077.0,205779.0,-5200640.0,5239238.5,-268158.0,114361.5,-92373.5,-1434.0,-334480.5,261824.5,-4302.0
"l,a",-24427436.0,24988096.0,384948.0,202878.0,487832.0,-56066.0,24485814.0,-24681178.0,-609212.0,1003986.0,-1509158.0,167620.0,-149124.0,169932.0,-9826.0,-189006.0,535228.0,-138142.0,668168.0,95948.0,1484882.0,-23910704.0,24252880.0,-548522.0,-551990.0,280908.0,-995316.0,25154560.0,-25341254.0,1297032.0,-553146.0,446794.0,6936.0,1617822.0,-1266398.0,20808.0
"l,d",-3507746.0,3588256.0,55278.0,29133.0,70052.0,-8051.0,3516129.0,-3544183.0,-87482.0,144171.0,-216713.0,24070.0,-21414.0,24402.0,-1411.0,-27141.0,76858.0,-19837.0,95948.0,13778.0,213227.0,-3433544.0,3482680.0,-78767.0,-79265.0,40338.0,-142926.0,3612160.0,-3638969.0,186252.0,-79431.0,64159.0,996.0,232317.0,-181853.0,2988.0
