,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"h,d",-70435890.0,74215710.0,3034620.0,3336150.0,2424660.0,475410.0,73721670.0,-71196270.0,-1346880.0,3018060.0,-2962170.0,2664780.0,329820.0,952200.0,-101430.0,153180.0,2045160.0,1353780.0,2004450.0,2317710.0,6167910.0,-68793000.0,72535560.0,-1008090.0,1585620.0,2585430.0,-4024080.0,76333320.0,-72034620.0,5355090.0,-779700.0,2223870.0,1131600.0,4716840.0,-2670300.0,129720.0
"h,h",7502953.5,-7905586.5,-323253.0,-355372.5,-258279.0,-50641.5,-7852960.5,7583950.5,143472.0,-321489.0,315535.5,-283857.0,-35133.0,-101430.0,10804.5,-16317.0,-217854.0,-144207.0,-213517.5,-246886.5,-657016.5,7327950.0,-7726614.0,107383.5,-168903.0,-275404.5,428652.0,-8131158.0,7673253.0,-570433.5,83055.0,-236890.5,-120540.0,-502446.0,284445.0,-13818.0
"h,l",-11330991.0,11939049.0,488178.0,536685.0,390054.0,76479.0,11859573.0,-11453313.0,-216672.0,485514.0,-476523.0,428682.0,53058.0,153180.0,-16317.0,24642.0,329004.0,217782.0,322455.0,372849.0,992229.0,-11066700.0,11668764.0,-162171.0,255078.0,415917.0,-647352.0,12279708.0,-11588178.0,861471.0,-125430.0,357753.0,182040.0,758796.0,-429570.0,20868.0
"h,r",-151284042.0,159402438.0,6517836.0,7165470.0,5207748.0,1021098.0,158341326.0,-152917206.0,-2892864.0,6482268.0,-6362226.0,5723484.0,708396.0,2045160.0,-217854.0,329004.0,4392648.0,2907684.0,4305210.0,4978038.0,13247598.0,-147755400.0,155793768.0,-2165202.0,3405636.0,5553054.0,-8643024.0,163950696.0,-154717836.0,11501802.0,-1674660.0,4776486.0,2430480.0,10130952.0,-5735340.0,278616.0
"h,v",-100141461.0,105515379.0,4314438.0,4743135.0,3447234.0,675909.0,104812983.0,-101222523.0,-1914912.0,4290894.0,-4211433.0,3788622.0,468918.0,1353780.0,-144207.0,217782.0,2907684.0,1924722.0,2849805.0,3295179.0,8769159.0,-97805700.0,103126644.0,-1433241.0,2254338.0,3675807.0,-5721192.0,108526068.0,-102414438.0,7613541.0,-1108530.0,3161763.0,1608840.0,6706116.0,-3796470.0,184428.0
"l,a",-148272652.5,156229447.5,6388095.0,7022837.5,5104085.0,1000772.5,155189457.5,-149873307.5,-2835280.0,6353235.0,-6235582.5,5609555.0,694295.0,2004450.0,-213517.5,322455.0,4305210.0,2849805.0,4219512.5,4878947.5,12983897.5,-144814250.0,152692610.0,-2122102.5,3337845.0,5442517.5,-8470980.0,160687170.0,-151638095.0,11272852.5,-1641325.0,4681407.5,2382100.0,9929290.0,-5621175.0,273070.0
"l,d",-171445039.5,180645340.5,7386441.0,8120382.5,5901763.0,1157175.5,179442818.5,-173295848.5,-3278384.0,7346133.0,-7210093.5,6486229.0,802801.0,2317710.0,-246886.5,372849.0,4978038.0,3295179.0,4878947.5,5641440.5,15013050.5,-167446150.0,176555758.0,-2453749.5,3859491.0,6293086.5,-9794844.0,185799726.0,-175336441.0,13034599.5,-1897835.0,5413028.5,2754380.0,11481062.0,-6499665.0,315746.0
"l,h",-456251029.5,480734950.5,19656861.0,21610032.5,15705823.0,3079485.5,477534788.5,-461176418.5,-8724464.0,19549593.0,-19187563.5,17261209.0,2136421.0,6167910.0,-657016.5,992229.0,13247598.0,8769159.0,12983897.5,15013050.5,39952860.5,-445609150.0,469851718.0,-6529939.5,10270911.0,16747216.5,-26066124.0,494451846.0,-466606861.0,34687789.5,-5050535.0,14405198.5,7329980.0,30553502.0,-17296965.0,840266.0
"l,l",5088737850.0,-5361816150.0,-219240300.0,-241024750.0,-175172900.0,-34346650.0,-5326123550.0,5143672550.0,97307200.0,-218043900.0,214006050.0,-192520700.0,-23828300.0,-68793000.0,7327950.0,-11066700.0,-147755400.0,-97805700.0,-144814250.0,-167446150.0,-445609150.0,4970045000.0,-5240431400.0,72830850.0,-114555300.0,-186787950.0,290725200.0,-5514805800.0,5204240300.0,-386885850.0,56330500.0,-160666550.0,-81754000.0,-340774600.0,192919500.0,-9371800.0
"l,r",-5365581522.0,5653516158.0,231167676.0,254137270.0,184702868.0,36215218.0,5615881766.0,-5423504846.0,-102601024.0,229906188.0,-225648666.0,202994444.0,25124636.0,72535560.0,-7726614.0,11668764.0,155793768.0,103126644.0,152692610.0,176555758.0,469851718.0,-5240431400.0,5525527688.0,-76793082.0,120787476.0,196949814.0,-306541584.0,5814828936.0,-5487367676.0,407933682.0,-59395060.0,169407326.0,86201680.0,359313832.0,-203414940.0,9881656.0
