,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",135246804050.0,-136814454898.80206,-4142881198.497836,542141114.4856766,-2814964173.722234,1162806463.641612,-135108730269.3664,136392447070.10257,4003774040.0461993,-5678033364.989937,9311021816.175985,-2837325807.5837383,-538757861.8198214,0.0,0.0,1144605133.7543411,-1144602128.0675504,0.0,-1859394354.6405153,3419251331.666416,-6108884845.321476,133500515770.01361,-134315672324.27817,4835574815.894478,2134237441.6250954,-2359930926.540463,7001013034.482927,-138829082098.3246,140142961102.87393,-5246141808.664839,4116102247.350499,-4559431633.917949,0.0,-6289598049.202236,7040015884.2413645,0.0
"a,d",-136814454898.80206,138427960620.5,4191320530.9181676,-548479928.5634212,2847877254.9401183,-1176402211.657136,136688446506.65173,-137987172761.40442,-4050586905.868248,5744421980.178867,-9419888003.574913,2870500345.156315,545057118.2822309,0.0,0.0,-1157988068.4579067,1157985027.6280017,0.0,1881134736.9805875,-3459229849.984432,6180311055.623477,-135061428466.23544,135886115981.54245,-4892113250.073022,-2159191340.1188526,2387523674.959389,-7082870172.404172,140452297376.5742,-141781538497.1999,5307480667.980014,-4164228475.3263483,4612741350.991955,0.0,6363137191.672966,-7122329050.688234,0.0
"a,h",-4142881198.497836,4191320530.9181676,126930244.5,0.0,0.0,0.0,4139065535.8978333,-4178392291.1503735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4089797770.6296196,4114770149.4935627,0.0,0.0,0.0,0.0,4253038778.085477,-4293289554.591423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,l",542141114.4856766,-548479928.5634212,0.0,2173612.5,0.0,0.0,-541641793.487755,546788127.6209395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535194569.9514936,-538462477.6370249,0.0,0.0,0.0,0.0,-556556433.2229116,561823685.5982908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,r",-2814964173.722234,2847877254.9401183,0.0,0.0,58601138.00000001,0.0,2812371544.823785,-2839092901.725071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2778895568.2016163,2795863554.6020145,0.0,0.0,0.0,0.0,2889812962.559228,-2917162164.3345203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,v",1162806463.641612,-1176402211.657136,0.0,0.0,0.0,9999392.0,-1161735499.5174694,1172773567.7145748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147907230.4558291,-1154916372.6842396,0.0,0.0,0.0,0.0,-1193725029.5928264,1205022448.1875262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,a",-135108730269.3664,136688446506.65173,4139065535.8978333,-541641793.487755,2812371544.823785,-1161735499.5174694,134997795660.5,-136266827354.19273,-4000086497.456582,5672803801.670534,-9302446209.971249,2834712583.2479806,538261656.8538971,0.0,0.0,-1143550933.3582401,1143547930.4396682,0.0,1857681821.4642537,-3416102144.228766,6103258460.611143,-133377559571.00778,134191965352.50613,-4831121170.933355,-2132271773.3871865,2357757390.8430557,-6994564984.848505,138701218200.96185,-140013887101.0602,5241310024.663681,-4112311248.6106825,4555232321.427621,0.0,6283805224.620633,-7033531912.332567,0.0
"d,d",136392447070.10257,-137987172761.40442,-4178392291.1503735,546788127.6209395,-2839092901.725071,1172773567.7145748,-136266827354.19273,137575302152.0,4038092762.7137623,-5726703157.640874,9390832108.231647,-2861646210.4171753,-543375875.0892584,0.0,0.0,1154416223.430304,-1154413191.9799876,0.0,-1875332326.8008523,3448559763.413179,-6161247721.627113,134644827894.23999,-135466971638.9495,4877023396.50494,2152531256.9436584,-2380159294.6183,7061022870.78219,-140019068525.8977,141344209566.89685,-5291109602.552675,4151383801.725262,-4598513227.484686,0.0,-6343509925.592373,7100360037.105627,0.0
"d,h",4003774040.0461993,-4050586905.868248,0.0,0.0,0.0,0.0,-4000086497.456582,4038092762.7137623,118549202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3952473015.403616,-3976606886.8383517,0.0,0.0,0.0,0.0,-4110232815.0715384,4149132075.355514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,l",-5678033364.989937,5744421980.178867,0.0,0.0,0.0,0.0,5672803801.670534,-5726703157.640874,0.0,238427284.5,-390941428.0700916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5605279776.334518,5639505715.626264,0.0,0.0,0.0,0.0,5829010036.136578,-5884175811.117123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,r",9311021816.175985,-9419888003.574913,0.0,0.0,0.0,0.0,-9302446209.971249,9390832108.231647,0.0,-390941428.0700916,641142240.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-420606222.58248115,9191718140.478603,-9247842937.030518,332936846.712021,0.0,0.0,482030635.90887105,-9558598219.556805,9649060832.4602,-361205022.7079437,0.0,-313923959.155004,0.0,-433048607.7279916,484716042.7748085,0.0
"d,v",-2837325807.5837383,2870500345.156315,0.0,0.0,0.0,0.0,2834712583.2479806,-2861646210.4171753,0.0,0.0,0.0,59535872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2800970678.718321,2818073456.1412106,0.0,0.0,0.0,0.0,2912769183.459024,-2940335643.003424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,a",-538757861.8198214,545057118.2822309,0.0,0.0,0.0,0.0,538261656.8538971,-543375875.0892584,0.0,0.0,0.0,0.0,2146592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531854667.4664041,535102181.6471271,0.0,0.0,0.0,0.0,553083221.2009404,-558317603.0835073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,d",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86944.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
