,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",93401013218.00002,-92408502065.6159,-860151503.2354045,796545738.1920366,-403571188.75305367,2361840484.103134,-91034439491.17514,95299595410.9519,3753621745.6179566,-2400380789.383155,8166006990.165804,0.0,1776691647.5587864,1413458562.539936,0.0,2478956684.031877,831334867.6911651,2894913667.1736307,2157211256.5523596,3568007694.4393773,-3526165663.23694,92349650094.66556,-90476084766.79163,4612329824.062283,350985582.7435713,-1346334990.0244672,6299494563.995172,-93554598605.13997,97036674988.86182,-2147781457.8025265,3575570548.678318,-1069102361.7798593,3004683094.4131165,-3127927367.169276,5995899986.689114,0.0
"a,d",-92408502065.6159,91444827168.0,851095088.0474031,-788159019.4274564,399322043.95005345,-2336972995.4999595,90075950587.58807,-94296199276.3757,-3714100386.4280367,2375107515.0828533,-8080028242.77819,0.0,-1757985109.3591065,-1398576454.7790575,0.0,-2452856095.311016,-822581859.039228,-2864433525.451763,-2134498280.5164337,-3530440639.679516,3489039157.1780686,-91377313522.46326,89523474702.142,-4563767247.40431,-347290104.64812165,1332159616.7833405,-6233168065.3466215,92569575298.09796,-96014989385.9349,2125167766.5973816,-3537923865.6820755,1057845932.1752481,-2973047205.717477,3094993856.5290313,-5932769992.958181,0.0
"a,h",-860151503.2354045,851095088.0474031,7924180.499999998,0.0,0.0,0.0,838439781.6447842,-877722457.8239731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-850553053.3565211,833297257.3887122,0.0,0.0,0.0,0.0,861650795.7309184,-893721201.0494242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,l",796545738.1920366,-788159019.4274564,0.0,6793298.0,0.0,0.0,-776439537.0527251,812817370.5063182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787657066.4679703,-771677287.8851969,0.0,0.0,0.0,0.0,-797934162.4555409,827633052.0302172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,r",-403571188.75305367,399322043.95005345,0.0,0.0,1744711.999999999,0.0,393384349.2190846,-411815237.62547207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-399067728.82422006,390971547.9634125,0.0,0.0,0.0,0.0,404274636.0011688,-419321626.67127323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,v",2361840484.103134,-2336972995.4999595,0.0,0.0,0.0,59732450.0,-2302223518.355028,2410087556.5536156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335484653.2696676,-2288102957.1122994,0.0,0.0,0.0,0.0,-2365957305.419244,2454017584.3517146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,a",-91034439491.17514,90075950587.58807,838439781.6447842,-776439537.0527251,393384349.2190846,-2302223518.355028,88745581104.5,-92894067703.61551,-3658873797.6990557,2339790999.027834,-7959882756.588207,0.0,-1731844857.2055752,-1377780407.651576,0.0,-2416383501.4949846,-810350528.3544466,-2821841006.1894817,-2102759488.7728524,-3477944968.331485,3437159102.6425495,-90018584143.04967,88192310865.77878,-4495906589.20863,-342126095.6604904,1312351150.7682216,-6140484353.70454,91193117655.06839,-94587300368.67477,2093567714.3588128,-3485316922.9622936,1042116356.7302794,-2928839661.9737954,3048973034.5116625,-5844553032.09635,0.0
"d,d",95299595410.9519,-94296199276.3757,-877722457.8239731,812817370.5063182,-411815237.62547207,2410087556.5536156,-92894067703.61551,97255935612.5,3830299769.188988,-2449415153.316123,8332820089.327835,0.0,1812985449.455868,1442332332.0144675,0.0,2529596176.2164583,848317163.4319966,2954050222.066962,2201278215.555991,3640894041.7159586,-3598197272.2154074,94236145092.43918,-92324307051.93878,4706549316.311014,358155426.3277528,-1373837576.3505354,6428179025.402304,-95465707982.44897,99018915330.6435,-2191655787.2905445,3648611388.0041494,-1090941710.9862778,3066061991.0498476,-3191823866.240094,6118382695.833494,0.0
"d,h",3753621745.6179566,-3714100386.4280367,0.0,0.0,0.0,0.0,-3658873797.6990557,3830299769.188988,150875820.5,0.0,328209732.16589034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3711734996.5316405,-3636432296.633527,0.0,0.0,0.0,253190503.75875843,-3760164520.194121,3900116807.5271378,0.0,0.0,0.0,0.0,0.0,240988371.79394937,0.0
"d,l",-2400380789.383155,2375107515.0828533,0.0,0.0,0.0,0.0,2339790999.027834,-2449415153.316123,0.0,61704940.49999999,-209884849.79522082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2373594886.421471,2325440019.709362,0.0,0.0,0.0,0.0,2404564788.4207687,-2494062027.441974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,r",8166006990.165804,-8080028242.77819,0.0,0.0,0.0,0.0,-7959882756.588207,8332820089.327835,328209732.16589034,-209884849.79522082,714079840.5,0.0,0.0,0.0,0.0,216755380.37556043,0.0,253125888.46106392,0.0,311979983.36306036,-308321393.75650555,8074882335.362488,-7911061253.786678,403293575.87071675,0.0,0.0,550816135.4196056,-8180240801.160274,8484707109.846985,0.0,312641265.32825136,0.0,262723923.84155,-273500174.8465923,524270387.9597966,0.0
"d,v",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,a",1776691647.5587864,-1757985109.3591065,0.0,0.0,0.0,0.0,-1731844857.2055752,1812985449.455868,0.0,0.0,0.0,0.0,33800642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756865505.6911201,-1721222682.089247,0.0,0.0,0.0,0.0,-1779788521.439991,1846031759.7345672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,d",1413458562.539936,-1398576454.7790575,0.0,0.0,0.0,0.0,-1377780407.651576,1442332332.0144675,0.0,0.0,0.0,0.0,0.0,21392340.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397685746.7991195,-1369329867.3500476,0.0,0.0,0.0,0.0,-1415922300.6611416,1468622538.4711165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,h",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,l",2478956684.031877,-2452856095.311016,0.0,0.0,0.0,0.0,-2416383501.4949846,2529596176.2164583,0.0,0.0,216755380.37556043,0.0,0.0,0.0,0.0,65803392.0,0.0,0.0,0.0,0.0,0.0,2451293950.9017105,-2401562746.278656,0.0,0.0,0.0,0.0,-2483277645.4919004,2575704555.1576576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,r",831334867.6911651,-822581859.039228,0.0,0.0,0.0,0.0,-810350528.3544466,848317163.4319966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7399704.5,0.0,0.0,0.0,0.0,822057983.2922487,-805380287.9881184,0.0,0.0,0.0,0.0,-832783931.3701124,863779919.7419455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,v",2894913667.1736307,-2864433525.451763,0.0,0.0,0.0,0.0,-2821841006.1894817,2954050222.066962,0.0,0.0,253125888.46106392,0.0,0.0,0.0,0.0,0.0,0.0,89739804.5,0.0,0.0,0.0,2862609260.7572145,-2804533399.683153,0.0,0.0,0.0,0.0,-2899959665.1226473,3007895364.7544107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l,a",2157211256.5523596,-2134498280.5164337,0.0,0.0,0.0,0.0,-2102759488.7728524,2201278215.555991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49830144.5,0.0,0.0,2133138887.8498435,-2089862329.177724,0.0,0.0,0.0,0.0,-2160971397.580118,2241402157.50074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l,d",3568007694.4393773,-3530440639.679516,0.0,0.0,0.0,0.0,-3477944968.331485,3640894041.7159586,0.0,0.0,311979983.36306036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136323072.0,0.0,3528192216.7052107,-3456613184.2831564,0.0,0.0,0.0,240670404.9538285,-3574226933.2524004,3707258674.8291574,0.0,0.0,0.0,0.0,0.0,229071660.14426947,0.0
"l,h",-3526165663.23694,3489039157.1780686,0.0,0.0,0.0,0.0,3437159102.6425495,-3598197272.2154074,0.0,0.0,-308321393.75650555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133154880.5,-3486817101.6667566,3416077476.4560776,0.0,0.0,0.0,-237848062.87463742,3532311968.8239837,-3663783647.181759,0.0,0.0,0.0,0.0,0.0,-226385336.5619465,0.0
"l,l",92349650094.66556,-91377313522.46326,-850553053.3565211,787657066.4679703,-399067728.82422006,2335484653.2696676,-90018584143.04967,94236145092.43918,3711734996.5316405,-2373594886.421471,8074882335.362488,0.0,1756865505.6911201,1397685746.7991195,0.0,2451293950.9017105,822057983.2922487,2862609260.7572145,2133138887.8498435,3528192216.7052107,-3486817101.6667566,91328114344.49998,-89466460111.53453,4560860732.3060665,347068926.76820487,-1331311207.7330837,6229198363.138155,-92510620745.04694,95953840560.45395,-2123814316.436493,3535670676.8844013,-1057172224.5930259,2971153768.5009003,-3093022755.6596427,5928991604.516348,0.0
