,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"l,r",-90476084766.79163,89523474702.142,833297257.3887122,-771677287.8851969,390971547.9634125,-2288102957.1122994,88192310865.77878,-92324307051.93878,-3636432296.633527,2325440019.709362,-7911061253.786678,0.0,-1721222682.089247,-1369329867.3500476,0.0,-2401562746.278656,-805380287.9881184,-2804533399.683153,-2089862329.177724,-3456613184.2831564,3416077476.4560776,-89466460111.53453,87660288184.5,-4468331193.5839,-340027684.0825622,1304301917.2121494,-6102822030.873411,90633789686.89911,-94007154367.63684,2080726932.0055408,-3463939923.4359655,1035724593.4106073,-2910875785.101067,3030272326.2095904,-5808705787.739221,0.0
"l,v",4612329824.062283,-4563767247.40431,0.0,0.0,0.0,0.0,-4495906589.20863,4706549316.311014,0.0,0.0,403293575.87071675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4560860732.3060665,-4468331193.5839,227804512.5,0.0,0.0,311112357.8341849,-4620369375.2655945,4792338250.299864,0.0,0.0,0.0,0.0,0.0,296118770.0428758,0.0
"r,a",350985582.7435713,-347290104.64812165,0.0,0.0,0.0,0.0,-342126095.6604904,358155426.3277528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347068926.76820487,-340027684.0825622,0.0,1318688.0,0.0,0.0,-351597370.518606,364683727.67255175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"r,d",-1346334990.0244672,1332159616.7833405,0.0,0.0,0.0,0.0,1312351150.7682216,-1373837576.3505354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1331311207.7330837,1304301917.2121494,0.0,0.0,19412680.500000004,0.0,1348681727.7668557,-1398879290.1884866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"r,h",6299494563.995172,-6233168065.3466215,0.0,0.0,0.0,0.0,-6140484353.70454,6428179025.402304,253190503.75875843,0.0,550816135.4196056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240670404.9538285,-237848062.87463742,6229198363.138155,-6102822030.873411,311112357.8341849,0.0,0.0,424948704.5,-6310474938.526305,6545349076.965552,0.0,241180537.03551948,0.0,0.0,-210985964.97302425,404437378.37896466,0.0
"r,l",-93554598605.13997,92569575298.09796,861650795.7309184,-797934162.4555409,404274636.0011688,-2365957305.419244,91193117655.06839,-95465707982.44897,-3760164520.194121,2404564788.4207687,-8180240801.160274,0.0,-1779788521.439991,-1415922300.6611416,0.0,-2483277645.4919004,-832783931.3701124,-2899959665.1226473,-2160971397.580118,-3574226933.2524004,3532311968.8239837,-92510620745.04694,90633789686.89911,-4620369375.2655945,-351597370.518606,1348681727.7668557,-6310474938.526305,93727180800.0,-97205815388.06538,2151525161.954097,-3581802969.9729595,1070965867.4103634,-3009920426.666761,3133379520.9385467,-6006351178.743864,0.0
"r,r",97036674988.86182,-96014989385.9349,-893721201.0494242,827633052.0302172,-419321626.67127323,2454017584.3517146,-94587300368.67477,99018915330.6435,3900116807.5271378,-2494062027.441974,8484707109.846985,0.0,1846031759.7345672,1468622538.4711165,0.0,2575704555.1576576,863779919.7419455,3007895364.7544107,2241402157.50074,3707258674.8291574,-3663783647.181759,95953840560.45395,-94007154367.63684,4792338250.299864,364683727.67255175,-1398879290.1884866,6545349076.965552,-97205815388.06538,100833728738.00002,-2231604335.795946,3715116689.5490985,-1110826922.026079,3121948835.546697,-3250003043.5002956,6229905914.636494,0.0
"r,v",-2147781457.8025265,2125167766.5973816,0.0,0.0,0.0,0.0,2093567714.3588128,-2191655787.2905445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2123814316.436493,2080726932.0055408,0.0,0.0,0.0,0.0,2151525161.954097,-2231604335.795946,49401800.0,0.0,0.0,0.0,0.0,0.0,0.0
"v,a",3575570548.678318,-3537923865.6820755,0.0,0.0,0.0,0.0,-3485316922.9622936,3648611388.0041494,0.0,0.0,312641265.32825136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535670676.8844013,-3463939923.4359655,0.0,0.0,0.0,241180537.03551948,-3581802969.9729595,3715116689.5490985,0.0,136901604.5,0.0,0.0,0.0,229557207.18471044,0.0
"v,d",-1069102361.7798593,1057845932.1752481,0.0,0.0,0.0,0.0,1042116356.7302794,-1090941710.9862778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1057172224.5930259,1035724593.4106073,0.0,0.0,0.0,0.0,1070965867.4103634,-1110826922.026079,0.0,0.0,12241352.0,0.0,0.0,0.0,0.0
"v,h",3004683094.4131165,-2973047205.717477,0.0,0.0,0.0,0.0,-2928839661.9737954,3066061991.0498476,0.0,0.0,262723923.84155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2971153768.5009003,-2910875785.101067,0.0,0.0,0.0,0.0,-3009920426.666761,3121948835.546697,0.0,0.0,0.0,96674512.5,0.0,0.0,0.0
"v,l",-3127927367.169276,3094993856.5290313,0.0,0.0,0.0,0.0,3048973034.5116625,-3191823866.240094,0.0,0.0,-273500174.8465923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3093022755.6596427,3030272326.2095904,0.0,0.0,0.0,-210985964.97302425,3133379520.9385467,-3250003043.5002956,0.0,0.0,0.0,0.0,104777287.99999999,0.0,0.0
"v,r",5995899986.689114,-5932769992.958181,0.0,0.0,0.0,0.0,-5844553032.09635,6118382695.833494,240988371.79394937,0.0,524270387.9597966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229071660.14426947,-226385336.5619465,5928991604.516348,-5808705787.739221,296118770.0428758,0.0,0.0,404437378.37896466,-6006351178.743864,6229905914.636494,0.0,229557207.18471044,0.0,0.0,0.0,384975752.0,0.0
"v,v",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93744.5
