,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",135246804050.0,-136828137695.0,-4143296985.0,542193825.0,-2815247170.0,1162921240.0,-135122242495.0,136406084660.0,4004172910.0,-5678602665.0,9311951405.0,-2837611040.0,-538813240.0,-108438765.0,101677595.0,1144718090.0,-1144718090.0,133923175.0,-1859581795.0,3419591750.0,-6109497230.0,133513864170.0,-134329105245.0,4836056865.0,2134449360.0,-2360168420.0,7001711625.0,-138842966355.0,140156973740.0,-5246667920.0,4116512350.0,-4559889075.0,-196073930.0,-6290228505.0,7040718375.0,-180991320.0
"a,d",-136828137695.0,138427960620.5,4191741271.5,-548533267.5,2848163623.0,-1176518356.0,136702119740.5,-138000972854.0,-4050990529.0,5744998063.5,-9420828669.5,2870788976.0,545113156.0,109706653.5,-102866430.5,-1158102371.0,1158102371.0,-135489032.5,1881324410.5,-3459574325.0,6180930737.0,-135074935923.0,135899708965.5,-4892601043.5,-2159405784.0,2387763998.0,-7083577087.5,140466347074.5,-141795718106.0,5308013048.0,-4164643465.0,4613204242.5,198366467.0,6363775159.5,-7123039912.5,183107508.0
"a,h",-4143296985.0,4191741271.5,126930244.5,-16610152.5,86245329.0,-35626188.0,4139481031.5,-4178811642.0,-122668167.0,173964460.5,-285272398.5,86930448.0,16506588.0,3322030.5,-3114901.5,-35068533.0,35068533.0,-4102747.5,56968441.5,-104759475.0,187164951.0,-4090208229.0,4115183206.5,-148153000.5,-65389032.0,72303954.0,-214498012.5,4253465713.5,-4293720438.0,160732104.0,-126109695.0,139692577.5,6006741.0,192701668.5,-215692987.5,5544684.0
"a,l",542193825.0,-548533267.5,-16610152.5,2173612.5,-11286105.0,4662060.0,-541694467.5,546841290.0,16052415.0,-22765072.5,37330882.5,-11375760.0,-2160060.0,-434722.5,407617.5,4589085.0,-4589085.0,536887.5,-7454917.5,13708875.0,-24492495.0,535246605.0,-538514842.5,19387372.5,8556840.0,-9461730.0,28069312.5,-556610557.5,561878310.0,-21033480.0,16502775.0,-18280237.5,-786045.0,-25217032.5,28225687.5,-725580.0
"a,r",-2815247170.0,2848163623.0,86245329.0,-11286105.0,58601138.0,-24206936.0,2812654343.0,-2839378324.0,-83349374.0,118203681.0,-193834117.0,59066656.0,11215736.0,2257221.0,-2116483.0,-23828026.0,23828026.0,-2787695.0,38708363.0,-71180950.0,127173022.0,-2779174938.0,2796144693.0,-100665561.0,-44429904.0,49128388.0,-145745025.0,2890103547.0,-2917455436.0,109212688.0,-85687790.0,94916955.0,4081402.0,130935057.0,-146556975.0,3767448.0
"a,v",1162921240.0,-1176518356.0,-35626188.0,4662060.0,-24206936.0,9999392.0,-1161850196.0,1172889328.0,34429928.0,-48827532.0,80068924.0,-24399232.0,-4632992.0,-932412.0,874276.0,9842872.0,-9842872.0,1151540.0,-15989636.0,29403400.0,-52532584.0,1148020536.0,-1155030396.0,41582892.0,18353088.0,-20293936.0,60204300.0,-1193842884.0,1205141392.0,-45113536.0,35395880.0,-39208260.0,-1685944.0,-54086604.0,60539700.0,-1556256.0
"d,a",-135122242495.0,136702119740.5,4139481031.5,-541694467.5,2812654343.0,-1161850196.0,134997795660.5,-136280455414.0,-4000485089.0,5673372703.5,-9303375149.5,2834997616.0,538316996.0,108338893.5,-101583950.5,-1143663811.0,1143663811.0,-133799832.5,1857869130.5,-3416442325.0,6103870417.0,-133390898643.0,134205388885.5,-4831602883.5,-2132483544.0,2357994718.0,-6995263087.5,138715092754.5,-140027889946.0,5241835768.0,-4112721065.0,4555689442.5,195893347.0,6284435239.5,-7034233912.5,180824628.0
"d,d",136406084660.0,-138000972854.0,-4178811642.0,546841290.0,-2839378324.0,1172889328.0,-136280455414.0,137575302152.0,4038495052.0,-5727277338.0,9391769666.0,-2861933888.0,-543431728.0,-109368258.0,102549134.0,1154530148.0,-1154530148.0,135071110.0,-1875521374.0,3448903100.0,-6161865356.0,134658290724.0,-135480519714.0,4877509578.0,2152744992.0,-2380398824.0,7061727450.0,-140033071806.0,141358342328.0,-5291640224.0,4151797420.0,-4598974590.0,-197754596.0,-6344145786.0,7101068550.0,-182542704.0
"d,h",4004172910.0,-4050990529.0,-122668167.0,16052415.0,-83349374.0,34429928.0,-4000485089.0,4038495052.0,118549202.0,-168123063.0,275693491.0,-84011488.0,-15952328.0,-3210483.0,3010309.0,33890998.0,-33890998.0,3964985.0,-55055549.0,101241850.0,-180880306.0,3952866774.0,-3977003139.0,143178303.0,63193392.0,-69876124.0,207295575.0,-4110642381.0,4149545428.0,-155335024.0,121875170.0,-135001965.0,-5805046.0,-186231111.0,208450425.0,-5358504.0
"d,l",-5678602665.0,5744998063.5,173964460.5,-22765072.5,118203681.0,-48827532.0,5673372703.5,-5727277338.0,-168123063.0,238427284.5,-390980566.5,119142672.0,22623132.0,4553014.5,-4269133.5,-48063237.0,48063237.0,-5623027.5,78078193.5,-143578275.0,256519239.0,-5605841781.0,5640071278.5,-203051344.5,-89619048.0,99096306.0,-293980612.5,5829594601.5,-5884765782.0,220291656.0,-172839855.0,191455897.5,8232549.0,264107596.5,-295618387.5,7599276.0
"d,r",9311951405.0,-9420828669.5,-285272398.5,37330882.5,-193834117.0,80068924.0,-9303375149.5,9391769666.0,275693491.0,-390980566.5,641142240.5,-195373904.0,-37098124.0,-7466176.5,7000659.5,78815609.0,-78815609.0,9220817.5,-128035079.5,235444175.0,-420648323.0,9192635817.0,-9248766424.5,332969986.5,146960136.0,-162501242.0,482078662.5,-9559552735.5,9650024174.0,-361241192.0,283428235.0,-313955407.5,-13499993.0,-433091950.5,484764337.5,-12461532.0
"d,v",-2837611040.0,2870788976.0,86930448.0,-11375760.0,59066656.0,-24399232.0,2834997616.0,-2861933888.0,-84011488.0,119142672.0,-195373904.0,59535872.0,11304832.0,2275152.0,-2133296.0,-24017312.0,24017312.0,-2809840.0,39015856.0,-71746400.0,128183264.0,-2801252256.0,2818356816.0,-101465232.0,-44782848.0,49518656.0,-146902800.0,2913062064.0,-2940631232.0,110080256.0,-86368480.0,95670960.0,4113824.0,131975184.0,-147721200.0,3797376.0
"h,a",-538813240.0,545113156.0,16506588.0,-2160060.0,11215736.0,-4632992.0,538316996.0,-543431728.0,-15952328.0,22623132.0,-37098124.0,11304832.0,2146592.0,432012.0,-405076.0,-4560472.0,4560472.0,-533540.0,7408436.0,-13623400.0,24339784.0,-531909336.0,535157196.0,-19266492.0,-8503488.0,9402736.0,-27894300.0,553140084.0,-558374992.0,20902336.0,-16399880.0,18166260.0,781144.0,25059804.0,-28049700.0,721056.0
"h,d",-108438765.0,109706653.5,3322030.5,-434722.5,2257221.0,-932412.0,108338893.5,-109368258.0,-3210483.0,4553014.5,-7466176.5,2275152.0,432012.0,86944.5,-81523.5,-917817.0,917817.0,-107377.5,1490983.5,-2741775.0,4898499.0,-107049321.0,107702968.5,-3877474.5,-1711368.0,1892346.0,-5613862.5,111322111.5,-112375662.0,4206696.0,-3300555.0,3656047.5,157209.0,5043406.5,-5645137.5,145116.0
"h,h",101677595.0,-102866430.5,-3114901.5,407617.5,-2116483.0,874276.0,-101583950.5,102549134.0,3010309.0,-4269133.5,7000659.5,-2133296.0,-405076.0,-81523.5,76440.5,860591.0,-860591.0,100682.5,-1398020.5,2570825.0,-4593077.0,100374783.0,-100987675.5,3635713.5,1604664.0,-1774358.0,5263837.5,-104381164.5,105369026.0,-3944408.0,3094765.0,-3428092.5,-147407.0,-4728949.5,5293162.5,-136068.0
"h,l",1144718090.0,-1158102371.0,-35068533.0,4589085.0,-23828026.0,9842872.0,-1143663811.0,1154530148.0,33890998.0,-48063237.0,78815609.0,-24017312.0,-4560472.0,-917817.0,860591.0,9688802.0,-9688802.0,1133515.0,-15739351.0,28943150.0,-51710294.0,1130050626.0,-1136950761.0,40931997.0,18065808.0,-19976276.0,59261925.0,-1175155719.0,1186277372.0,-44407376.0,34841830.0,-38594535.0,-1659554.0,-53239989.0,59592075.0,-1531896.0
"h,r",-1144718090.0,1158102371.0,35068533.0,-4589085.0,23828026.0,-9842872.0,1143663811.0,-1154530148.0,-33890998.0,48063237.0,-78815609.0,24017312.0,4560472.0,917817.0,-860591.0,-9688802.0,9688802.0,-1133515.0,15739351.0,-28943150.0,51710294.0,-1130050626.0,1136950761.0,-40931997.0,-18065808.0,19976276.0,-59261925.0,1175155719.0,-1186277372.0,44407376.0,-34841830.0,38594535.0,1659554.0,53239989.0,-59592075.0,1531896.0
"h,v",133923175.0,-135489032.5,-4102747.5,536887.5,-2787695.0,1151540.0,-133799832.5,135071110.0,3964985.0,-5623027.5,9220817.5,-2809840.0,-533540.0,-107377.5,100682.5,1133515.0,-1133515.0,132612.5,-1841382.5,3386125.0,-6049705.0,132207195.0,-133014457.5,4788727.5,2113560.0,-2337070.0,6933187.5,-137484142.5,138785290.0,-5195320.0,4076225.0,-4515262.5,-194155.0,-6228667.5,6971812.5,-179220.0
