,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"h,d",-6212034.769477783,6354615.78279305,0.0,0.0,0.0,0.0,6226882.616372913,-6276562.801765964,0.0,0.0,0.0,0.0,0.0,43218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6080626.885956938,6167646.176709717,0.0,0.0,0.0,0.0,6396948.523793053,-6444423.878925693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,h",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,l",6909001.8939409675,-7067579.9650882,0.0,0.0,0.0,0.0,-6925515.613958336,6980769.730702785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53464.5,0.0,0.0,0.0,0.0,0.0,6762850.53616181,-6859633.066771533,0.0,0.0,0.0,0.0,-7114662.2816881975,7167464.194443055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,r",-19565489.15157223,20014563.79029861,0.0,0.0,0.0,0.0,19612254.08427847,-19768727.311460413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428738.0,0.0,0.0,0.0,0.0,-19151605.518451385,19425682.379415274,0.0,0.0,0.0,0.0,20147895.430498615,-20297424.30142014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,v",5049660.144535411,-5165561.888093756,0.0,0.0,0.0,0.0,-5061729.713363892,5102113.912897229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28560.500000000004,0.0,0.0,0.0,4942840.853156255,-5013577.392977089,0.0,0.0,0.0,0.0,-5199973.471893753,5238565.4014375005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l,a",-24425132.360245842,24985747.400624998,0.0,0.0,0.0,0.0,24483512.68810486,-24678850.471634023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668168.0,0.0,0.0,-23908449.008124992,24250600.617741667,0.0,0.0,0.0,0.0,25152195.728825003,-25338864.328593746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l,d",-3507537.679433339,3588044.034437495,0.0,0.0,0.0,0.0,3515921.3064173586,-3543972.5213215207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13778.0,0.0,-3433340.074312495,3482474.2875541616,0.0,0.0,0.0,0.0,3611946.618637498,-3638752.9072812498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"l,h",-54280244.76831459,55526105.84145625,0.0,0.0,0.0,0.0,54409984.02378611,-54844085.36435278,0.0,2230967.9539736104,-3353494.2591791674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3299880.5,-53132013.57729374,53892380.92537291,0.0,0.0,0.0,-2211684.942828473,55896005.822456256,-56310841.53901249,2882146.045525694,0.0,0.0,0.0,3594974.13391111,-2814056.7868875004,0.0
"l,l",874059510.2729571,-894121260.6233723,-13774304.182298606,-7259496.794267355,-17455687.404741663,0.0,-876148665.0036924,883138876.7597687,21798612.349173613,-35924649.30160485,54000374.58144236,-5997899.173093051,5335797.489259727,-6080626.885956938,0.0,6762850.53616181,-19151605.518451385,4942840.853156255,-23908449.008124992,-3433340.074312495,-53132013.57729374,855655712.0,-867813847.9326556,19627009.88649653,19751101.455792367,-10051557.103423607,35614140.39744306,-900077655.9495723,906757638.782409,-46410386.90710278,19792465.31222431,-15987270.501407634,0.0,-57888857.06696736,45313964.730734035,0.0
"l,r",-886568095.3459764,906916947.5560946,13971426.97956805,7363386.783599301,17705494.137925,-2034714.828445145,888687147.7773745,-895777395.8095646,-22110570.280959733,36438763.645861804,-54773168.963890985,6083734.555173607,-5412157.595273617,6167646.176709717,0.0,-6859633.066771533,19425682.379415274,-5013577.392977089,24250600.617741667,3482474.2875541616,53892380.92537291,-867813847.9326556,880320800.0,-19907890.215636812,-20033757.64794098,10195404.01044305,-36123811.077490285,912958584.3066947,-919734163.7581244,47074561.67556389,-20075713.45870903,16216062.855659025,0.0,58717299.163699314,-45962448.70259932,0.0
"l,v",20051167.440875687,-20511389.55475348,0.0,0.0,0.0,0.0,-20099093.229523614,20259450.62473751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19627009.88649653,-19907890.215636812,450300.5,0.0,0.0,0.0,-20648030.91455348,20801271.572277777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"r,a",20177940.741971523,-20641072.60545765,0.0,0.0,0.0,0.0,-20226169.540927783,20387540.794133343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19751101.455792367,-20033757.64794098,0.0,456012.5,0.0,0.0,-20778577.87885765,20932787.39907361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"r,d",-10268780.40454445,10504473.405326385,0.0,0.0,0.0,0.0,10293324.581306249,-10375448.222432632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10051557.103423607,10195404.01044305,0.0,0.0,118098.0,0.0,10574451.381526388,-10652930.336392362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"r,h",36383794.398722224,-37218889.25380695,0.0,0.0,0.0,0.0,-36470758.01542709,36761734.11523405,0.0,0.0,2247831.529907639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2211684.942828473,35614140.39744306,-36123811.077490285,0.0,0.0,0.0,1482642.0,-37466831.48240695,37744893.92447431,0.0,0.0,0.0,0.0,-2409694.361502084,0.0,0.0
"r,l",-919529153.6308932,940634540.739178,14490860.310651388,7637144.684682637,18363753.58500833,-2110361.9833618086,921726988.7424579,-929080839.8524814,-22932602.789876394,37793493.438945144,-56809540.026807636,6309917.214256943,-5613372.19219028,6396948.523793053,0.0,-7114662.2816881975,20147895.430498615,-5199973.471893753,25152195.728825003,3611946.618637498,55896005.822456256,-900077655.9495723,912958584.3066947,-20648030.91455348,-20778577.87885765,10574451.381526388,-37466831.48240695,946995200.0000001,-953928278.7250412,48824711.92264722,-20822093.5336257,16818947.840742365,0.0,60900306.12078264,-47671252.52551599,0.0
"r,r",926353496.9749885,-947615519.038841,-14598405.140267361,-7693824.23348611,-18500041.335210416,2126024.1672694446,-928567643.4579111,935976071.63555,23102798.541204862,-38073980.22332361,57231155.594723605,-6356746.661061806,5655032.186290973,-6444423.878925693,0.0,7167464.194443055,-20297424.30142014,5238565.4014375005,-25338864.328593746,-3638752.9072812498,-56310841.53901249,906757638.782409,-919734163.7581244,20801271.572277777,20932787.39907361,-10652930.336392362,37744893.92447431,-953928278.7250412,961104324.5,-49187067.58757152,20976626.008005556,-16943770.71812639,0.0,-61352281.566186115,48025047.71901527,0.0
"r,v",-47413357.62562361,48501607.26164721,0.0,0.0,0.0,0.0,47526683.822727084,-47905867.8554118,0.0,0.0,-2929250.287738194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2882146.045525694,-46410386.90710278,47074561.67556389,0.0,0.0,0.0,0.0,48824711.92264722,-49187067.58757152,2517768.0,0.0,0.0,0.0,3140181.017852082,-2458055.9904465275,0.0
"v,a",20220198.509003468,-20684300.2890257,0.0,0.0,0.0,0.0,-20268528.31139584,20430237.517265286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19792465.31222431,-20075713.45870903,0.0,0.0,0.0,0.0,-20822093.5336257,20976626.008005556,0.0,457924.5,0.0,0.0,0.0,0.0,0.0
"v,d",-16332769.97362848,16707645.99734236,0.0,0.0,0.0,0.0,16371808.14347222,-16502427.991866661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15987270.501407634,16216062.855659025,0.0,0.0,0.0,0.0,16818947.840742365,-16943770.71812639,0.0,0.0,298764.5,0.0,0.0,0.0,0.0
"v,h",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0
"v,l",-59139887.97698821,60497289.45178264,0.0,0.0,0.0,0.0,59281242.62761251,-59754208.52452639,0.0,2430703.7567999996,-3653728.454352778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3594974.13391111,-57888857.06696736,58717299.163699314,0.0,0.0,0.0,-2409694.361502084,60900306.12078264,-61352281.566186115,3140181.017852082,0.0,0.0,0.0,3917200.4999999995,-3065995.8120611114,0.0
"v,r",46293240.76771319,-47355781.05051598,0.0,0.0,0.0,0.0,-46403889.69018611,46774115.68967502,0.0,0.0,2860048.2148486115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2814056.7868875004,45313964.730734035,-45962448.70259932,0.0,0.0,0.0,0.0,-47671252.52551599,48025047.71901527,-2458055.9904465275,0.0,0.0,0.0,-3065995.8120611114,2400240.5,0.0
"v,v",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0000000000002
