,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",51037249540.50001,-51410545093.440254,-1238378786.3309803,-747210453.9017094,-662553798.2309732,783477718.3486005,-50586819860.81009,51669635064.79408,1177690220.6040285,-1598409167.2401109,3527152009.7754574,-617190609.1545789,0.0,0.0,0.0,314192332.76251996,-355393894.7313024,0.0,0.0,1435014507.935266,-2635533063.976129,50189900615.485214,-50344030961.52798,1874909658.3450913,211965427.801631,-703923748.832333,3215200220.1057453,-52413327139.29097,52705321395.67908,-1901256373.1867442,1370803233.2567077,-1132478101.9730594,0.0,-2895732483.009392,2776103717.3909273,0.0
"a,d",-51410545093.440254,51796929800.0,1247561054.2570548,752750831.9025755,667466468.3748116,-789287009.0154648,50961908435.20546,-52052752442.19365,-1186422498.0466373,1610260970.0902243,-3553304956.782258,621766922.635406,0.0,0.0,0.0,-316521990.06344545,358029051.27313244,0.0,0.0,-1445654780.3923497,2655074880.2520566,-50562046133.28572,50717319317.163574,-1888811642.9498248,-213537098.2563343,709143166.7780018,-3239040122.877121,52801958806.79033,-53096118127.31445,1915353712.068791,-1380967395.226008,1140875142.9006255,0.0,2917203612.679844,-2796687829.786889,0.0
"a,h",-1238378786.3309803,1247561054.2570548,30054504.5,0.0,0.0,0.0,1227572012.7526171,-1253848296.6362383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1217940117.3659043,1221680342.578728,0.0,0.0,0.0,0.0,1271895202.5147347,-1278980921.2464323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,l",-747210453.9017094,752750831.9025755,0.0,10941842.0,0.0,0.0,740689885.009388,-756544415.3232175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-734878211.7128834,737134981.1354988,0.0,0.0,0.0,0.0,767433520.4027557,-771708886.8484113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,r",-662553798.2309732,667466468.3748116,0.0,0.0,8602952.0,0.0,656771989.8211242,-670830250.4139812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-651618761.3076472,653619845.6672349,0.0,0.0,0.0,0.0,680485653.2419919,-684276633.7651753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,v",783477718.3486005,-789287009.0154648,0.0,0.0,0.0,12029512.5,-776640661.3852024,793264721.1394422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770546907.5953766,-772913213.5670915,0.0,0.0,0.0,0.0,-804682349.4115845,809165228.8056484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,a",-50586819860.81009,50961908435.20546,1227572012.7526171,740689885.009388,656771989.8211242,-776640661.3852024,50150395104.5,-51218737445.14284,-1167413048.7901747,1584460570.7796867,-3496372143.7414455,611804664.8523186,0.0,0.0,0.0,-311450517.86988294,352292532.37389493,0.0,0.0,-1422491783.0322373,2612533954.6615686,-49751915971.51251,49904701291.484634,-1858548166.708612,-210115701.0387718,697780923.5074644,-3187142616.755258,51955939654.058136,-52245385808.16304,1884664965.6418533,-1358840851.2101955,1122595475.941638,0.0,2870462730.6270065,-2751877911.3353763,0.0
"d,d",51669635064.79408,-52052752442.19365,-1253848296.6362383,-756544415.3232175,-670830250.4139812,793264721.1394422,-51218737445.14284,52320302162.0,1192401624.9054704,-1618376084.7596688,3571212288.3959494,-624900396.0097868,0.0,0.0,0.0,318117142.83126175,-359833384.1489605,0.0,0.0,1452940341.2616577,-2668455467.317537,50816859986.3669,-50972915689.17673,1898330549.1107826,214613245.58237284,-712716983.8318911,3255363676.9473867,-53068060984.26947,53363702758.04738,-1925006380.359502,1387926955.8021991,-1146624728.0799675,0.0,-2931905230.7838492,2810782093.295519,0.0
"d,h",1177690220.6040285,-1186422498.0466373,0.0,0.0,0.0,0.0,-1167413048.7901747,1192401624.9054704,27180564.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158253178.5390048,-1161810108.5400639,0.0,0.0,0.0,0.0,-1209564115.737557,1216302588.4460764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,l",-1598409167.2401109,1610260970.0902243,0.0,0.0,0.0,0.0,1584460570.7796867,-1618376084.7596688,0.0,50070024.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1572028421.5421348,1576856031.9097974,0.0,0.0,0.0,0.0,1641669716.8173041,-1650815446.6230626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,r",3527152009.7754574,-3553304956.782258,0.0,0.0,0.0,0.0,-3496372143.7414455,3571212288.3959494,0.0,0.0,243807361.99999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-182158206.70614722,3468938567.238284,-3479591481.3753347,129586756.38217221,0.0,0.0,222222636.5887764,-3622613508.318078,3642795061.278756,-131407742.95811251,0.0,0.0,0.0,-200142219.20245975,191873925.50690836,0.0
"d,v",-617190609.1545789,621766922.635406,0.0,0.0,0.0,0.0,611804664.8523186,-624900396.0097868,0.0,0.0,0.0,7465248.000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-607004263.3546528,608868339.1144294,0.0,0.0,0.0,0.0,633894720.6501863,-637426143.4337809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,a",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,d",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,h",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,l",314192332.76251996,-316521990.06344545,0.0,0.0,0.0,0.0,-311450517.86988294,318117142.83126175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934544.5,0.0,0.0,0.0,0.0,0.0,309006784.405596,-309955726.7637721,0.0,0.0,0.0,0.0,-322695870.6977651,324493606.9970679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,r",-355393894.7313024,358029051.27313244,0.0,0.0,0.0,0.0,352292532.37389493,-359833384.1489605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2475312.5,0.0,0.0,0.0,0.0,-349528340.3090263,350601722.07200575,0.0,0.0,0.0,0.0,365012542.7700127,-367046024.9367544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,v",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
