,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",51037249540.5,-51415686630.0,-1238506861.5,-747289449.0,-662624334.0,783551677.5,-50591879086.5,51674793831.0,1177803571.5,-1598573218.5,3527500131.0,-617256612.0,96805773.0,49521105.0,32268591.0,314219398.5,-355433737.5,-74441403.0,-53035506.0,1435153572.0,-2635800750.0,50194911519.0,-50349065926.5,1875092679.0,211982278.5,-703998418.5,3215517169.5,-52418568879.0,52710583653.0,-1901450686.5,1370935881.0,-1132595595.0,111502359.0,-2896026169.5,2776376790.0,-86262570.0
"a,d",-51415686630.0,51796929800.0,1247690290.0,752830540.0,667537640.0,-789361650.0,50967013790.0,-52057958260.0,-1186536890.0,1610426510.0,-3553656260.0,621833520.0,-97523580.0,-49888300.0,-32507860.0,-316549310.0,358069250.0,74993380.0,53428760.0,-1445795120.0,2655345000.0,-50567102740.0,50722400190.0,-1888996340.0,-213554110.0,709218510.0,-3239359970.0,52807248340.0,-53101428380.0,1915549790.0,-1381101260.0,1140993700.0,-112329140.0,2917499970.0,-2796963400.0,86902200.0
"a,h",-1238506861.5,1247690290.0,30054504.5,18134267.0,16079722.0,-19014232.5,1227699179.5,-1253977973.0,-28581434.5,38792135.5,-85600873.0,14978796.0,-2349159.0,-1201715.0,-783053.0,-7625075.5,8625212.5,1806449.0,1286998.0,-34826476.0,63962250.0,-1218066077.0,1221806899.5,-45502357.0,-5144115.5,17083735.5,-78030068.5,1272026957.0,-1279113199.0,46141979.5,-33268123.0,27484385.0,-2705797.0,70277068.5,-67373570.0,2093310.0
"a,l",-747289449.0,752830540.0,18134267.0,10941842.0,9702172.0,-11472795.0,740768317.0,-756624398.0,-17245447.0,23406373.0,-51649798.0,9037896.0,-1417434.0,-725090.0,-472478.0,-4600813.0,5204275.0,1089974.0,776548.0,-21013576.0,38593500.0,-734955902.0,737213037.0,-27455182.0,-3103853.0,10307973.0,-47081731.0,767514782.0,-771790474.0,27841117.0,-20073298.0,16583510.0,-1632622.0,42403731.0,-40651820.0,1263060.0
"a,r",-662624334.0,667537640.0,16079722.0,9702172.0,8602952.0,-10172970.0,656842022.0,-670901668.0,-15291602.0,20754518.0,-45798068.0,8013936.0,-1256844.0,-642940.0,-418948.0,-4079558.0,4614650.0,966484.0,688568.0,-18632816.0,34221000.0,-651688132.0,653689542.0,-24344612.0,-2752198.0,9140118.0,-41747546.0,680558212.0,-684349484.0,24686822.0,-17799068.0,14704660.0,-1447652.0,37599546.0,-36046120.0,1119960.0
"a,v",783551677.5,-789361650.0,-19014232.5,-11472795.0,-10172970.0,12029512.5,-776714107.5,793339605.0,18082282.5,-24542167.5,54156105.0,-9476460.0,1486215.0,760275.0,495405.0,4824067.5,-5456812.5,-1142865.0,-814230.0,22033260.0,-40466250.0,770619645.0,-772986307.5,28787445.0,3254467.5,-10808167.5,49366372.5,-804758445.0,809241615.0,-29192107.5,21047355.0,-17388225.0,1711845.0,-44461372.5,42624450.0,-1324350.0
"d,a",-50591879086.5,50967013790.0,1227699179.5,740768317.0,656842022.0,-776714107.5,50150395104.5,-51223859923.0,-1167525609.5,1584623460.5,-3496717823.0,611870196.0,-95961009.0,-49088965.0,-31987003.0,-311477400.5,352332087.5,73791799.0,52572698.0,-1422629876.0,2612799750.0,-49756891627.0,49909700824.5,-1858729907.0,-210132440.5,697855060.5,-3187457343.5,51961144507.0,-52250611049.0,1884857904.5,-1358972573.0,1122712135.0,-110529347.0,2870754343.5,-2752149070.0,85509810.0
"d,d",51674793831.0,-52057958260.0,-1253977973.0,-756624398.0,-670901668.0,793339605.0,-51223859923.0,52320302162.0,1192516393.0,-1618542187.0,3571564762.0,-624967224.0,98015046.0,50139710.0,32671682.0,318144547.0,-359873725.0,-75371306.0,-53698012.0,1453081144.0,-2668726500.0,50821933538.0,-50978013603.0,1898515858.0,214630307.0,-712792587.0,3255684589.0,-53073368258.0,53369030806.0,-1925203123.0,1388061262.0,-1146743690.0,112895218.0,-2932202589.0,2811058580.0,-87340140.0
"d,h",1177803571.5,-1186536890.0,-28581434.5,-17245447.0,-15291602.0,18082282.5,-1167525609.5,1192516393.0,27180564.5,-36890805.5,81405293.0,-14244636.0,2234019.0,1142815.0,744673.0,7251345.5,-8202462.5,-1717909.0,-1223918.0,33119516.0,-60827250.0,1158364657.0,-1161922129.5,43272137.0,4891985.5,-16246405.5,74205558.5,-1209680737.0,1216419659.0,-43880409.5,31637543.0,-26137285.0,2573177.0,-66832558.5,64071370.0,-1990710.0
"d,l",-1598573218.5,1610426510.0,38792135.5,23406373.0,20754518.0,-24542167.5,1584623460.5,-1618542187.0,-36890805.5,50070024.5,-110487287.0,19333524.0,-3032121.0,-1551085.0,-1010707.0,-9841884.5,11132787.5,2331631.0,1661162.0,-44951444.0,82557750.0,-1572189763.0,1577018140.5,-58731083.0,-6639644.5,22050424.5,-100715451.5,1641838483.0,-1650984881.0,59556660.5,-42940037.0,35474815.0,-3492443.0,90708451.5,-86960830.0,2701890.0
"d,r",3527500131.0,-3553656260.0,-85600873.0,-51649798.0,-45798068.0,54156105.0,-3496717823.0,3571564762.0,81405293.0,-110487287.0,243807362.0,-42662424.0,6690846.0,3422710.0,2230282.0,21717647.0,-24566225.0,-5145106.0,-3665612.0,99192344.0,-182176500.0,3469280938.0,-3479935503.0,129599258.0,14651407.0,-48657687.0,222244289.0,-3622971658.0,3643154606.0,-131421023.0,94753862.0,-78280690.0,7706618.0,-200162289.0,191892580.0,-5962140.0
"d,v",-617256612.0,621833520.0,14978796.0,9037896.0,8013936.0,-9476460.0,611870196.0,-624967224.0,-14244636.0,19333524.0,-42662424.0,7465248.0,-1170792.0,-598920.0,-390264.0,-3800244.0,4298700.0,900312.0,641424.0,-17357088.0,31878000.0,-607069176.0,608933556.0,-22677816.0,-2563764.0,8514324.0,-38889228.0,633962616.0,-637494312.0,22996596.0,-16580424.0,13697880.0,-1348536.0,35025228.0,-33578160.0,1043280.0
"h,a",96805773.0,-97523580.0,-2349159.0,-1417434.0,-1256844.0,1486215.0,-95961009.0,98015046.0,2234019.0,-3032121.0,6690846.0,-1170792.0,183618.0,93930.0,61206.0,596001.0,-674175.0,-141198.0,-100596.0,2722152.0,-4999500.0,95208054.0,-95500449.0,3556614.0,402081.0,-1335321.0,6099087.0,-99425814.0,99979698.0,-3606609.0,2600346.0,-2148270.0,211494.0,-5493087.0,5266140.0,-163620.0
"h,d",49521105.0,-49888300.0,-1201715.0,-725090.0,-642940.0,760275.0,-49088965.0,50139710.0,1142815.0,-1551085.0,3422710.0,-598920.0,93930.0,48050.0,31310.0,304885.0,-344875.0,-72230.0,-51460.0,1392520.0,-2557500.0,48703790.0,-48853365.0,1819390.0,205685.0,-683085.0,3119995.0,-50861390.0,51144730.0,-1844965.0,1330210.0,-1098950.0,108190.0,-2809995.0,2693900.0,-83700.0
"h,h",32268591.0,-32507860.0,-783053.0,-472478.0,-418948.0,495405.0,-31987003.0,32671682.0,744673.0,-1010707.0,2230282.0,-390264.0,61206.0,31310.0,20402.0,198667.0,-224725.0,-47066.0,-33532.0,907384.0,-1666500.0,31736018.0,-31833483.0,1185538.0,134027.0,-445107.0,2033029.0,-33141938.0,33326566.0,-1202203.0,866782.0,-716090.0,70498.0,-1831029.0,1755380.0,-54540.0
"h,l",314219398.5,-316549310.0,-7625075.5,-4600813.0,-4079558.0,4824067.5,-311477400.5,318144547.0,7251345.5,-9841884.5,21717647.0,-3800244.0,596001.0,304885.0,198667.0,1934544.5,-2188287.5,-458311.0,-326522.0,8835764.0,-16227750.0,309033403.0,-309982480.5,11544323.0,1305104.5,-4334284.5,19796871.5,-322723723.0,324521561.0,-11706600.5,8440397.0,-6973015.0,686483.0,-17829871.5,17093230.0,-531090.0
"h,r",-355433737.5,358069250.0,8625212.5,5204275.0,4614650.0,-5456812.5,352332087.5,-359873725.0,-8202462.5,11132787.5,-24566225.0,4298700.0,-674175.0,-344875.0,-224725.0,-2188287.5,2475312.5,518425.0,369350.0,-9994700.0,18356250.0,-349567525.0,350641087.5,-13058525.0,-1476287.5,4902787.5,-22393512.5,365053525.0,-367087175.0,13242087.5,-9547475.0,7887625.0,-776525.0,20168512.5,-19335250.0,600750.0
"h,v",-74441403.0,74993380.0,1806449.0,1089974.0,966484.0,-1142865.0,73791799.0,-75371306.0,-1717909.0,2331631.0,-5145106.0,900312.0,-141198.0,-72230.0,-47066.0,-458311.0,518425.0,108578.0,77356.0,-2093272.0,3844500.0,-73212794.0,73437639.0,-2734954.0,-309191.0,1026831.0,-4690057.0,76456154.0,-76882078.0,2773399.0,-1999606.0,1651970.0,-162634.0,4224057.0,-4049540.0,125820.0
"l,a",-53035506.0,53428760.0,1286998.0,776548.0,688568.0,-814230.0,52572698.0,-53698012.0,-1223918.0,1661162.0,-3665612.0,641424.0,-100596.0,-51460.0,-33532.0,-326522.0,369350.0,77356.0,55112.0,-1491344.0,2739000.0,-52160188.0,52320378.0,-1948508.0,-220282.0,731562.0,-3341414.0,54470908.0,-54774356.0,1975898.0,-1424612.0,1176940.0,-115868.0,3009414.0,-2885080.0,89640.0
"l,d",1435153572.0,-1445795120.0,-34826476.0,-21013576.0,-18632816.0,22033260.0,-1422629876.0,1453081144.0,33119516.0,-44951444.0,99192344.0,-17357088.0,2722152.0,1392520.0,907384.0,8835764.0,-9994700.0,-2093272.0,-1491344.0,40356128.0,-74118000.0,1411467256.0,-1415802036.0,52727096.0,5960884.0,-19796244.0,90419468.0,-1473995896.0,1482207272.0,-53468276.0,38550344.0,-31848280.0,3135416.0,-81435468.0,78070960.0,-2425680.0
"l,h",-2635800750.0,2655345000.0,63962250.0,38593500.0,34221000.0,-40466250.0,2612799750.0,-2668726500.0,-60827250.0,82557750.0,-182176500.0,31878000.0,-4999500.0,-2557500.0,-1666500.0,-16227750.0,18356250.0,3844500.0,2739000.0,-74118000.0,136125000.0,-2592298500.0,2600259750.0,-96838500.0,-10947750.0,36357750.0,-166064250.0,2707138500.0,-2722219500.0,98199750.0,-70801500.0,58492500.0,-5758500.0,149564250.0,-143385000.0,4455000.0
"l,l",50194911519.0,-50567102740.0,-1218066077.0,-734955902.0,-651688132.0,770619645.0,-49756891627.0,50821933538.0,1158364657.0,-1572189763.0,3469280938.0,-607069176.0,95208054.0,48703790.0,31736018.0,309033403.0,-349567525.0,-73212794.0,-52160188.0,1411467256.0,-2592298500.0,49366475762.0,-49518085947.0,1844145442.0,208483643.0,-692379363.0,3162447061.0,-51553433042.0,51840628294.0,-1870068427.0,1348309438.0,-1113902810.0,109662082.0,-2848229061.0,2730554420.0,-84838860.0
"l,r",-50349065926.5,50722400190.0,1221806899.5,737213037.0,653689542.0,-772986307.5,49909700824.5,-50978013603.0,-1161922129.5,1577018140.5,-3479935503.0,608933556.0,-95500449.0,-48853365.0,-31833483.0,-309982480.5,350641087.5,73437639.0,52320378.0,-1415802036.0,2600259750.0,-49518085947.0,49670161744.5,-1849809027.0,-209123920.5,694505740.5,-3172159303.5,51711759627.0,-51999836889.0,1875811624.5,-1352450253.0,1117323735.0,-109998867.0,2856976303.5,-2738940270.0,85099410.0
