model,R2,RMSE_mW,MAE_mW
Random Forest,0.84519947405828,31.754581180137237,26.44351851851852
Neural Network,0.8249852510716004,33.76428036307572,18.73393518493873
Linear Regression,0.9965067492481763,4.770183147260411,3.2517266099799613
