time_s,counts
0.26075,22.0
0.2608,28.0
0.26085,33.0
0.2609,41.0
0.26095,29.0
0.261,38.0
0.26105,46.0
0.26575,25.0
0.2658,43.0
0.26585,49.0
0.2659,31.0
0.26595,48.0
0.266,51.0
0.26605,43.0
0.2661,23.0
0.27075,22.0
0.2708,29.0
0.27085,37.0
0.2709,40.0
0.27095,39.0
0.271,36.0
0.27105,41.0
0.27575,40.0
0.2758,33.0
0.27585,36.0
0.2759,38.0
0.27595,39.0
0.276,37.0
0.27605,39.0
0.28075,22.0
0.2808,31.0
0.28085,32.0
0.2809,39.0
0.28095,27.0
0.281,24.0
0.28105,36.0
0.28575,26.0
0.2858,33.0
0.28585,31.0
0.2859,34.0
0.28595,38.0
0.286,41.0
0.28605,36.0
0.29075,34.0
0.2908,35.0
0.29085,42.0
0.2909,46.0
0.29095,36.0
0.291,37.0
0.29105,48.0
0.29575,38.0
0.2958,35.0
0.29585,47.0
0.2959,28.0
0.29595,31.0
0.296,44.0
0.29605,36.0
0.30075,49.0
0.3008,50.0
0.30085,44.0
0.3009,42.0
0.30095,36.0
0.301,42.0
0.30105,45.0
0.30575,42.0
0.3058,45.0
0.30585,35.0
0.3059,36.0
0.30595,45.0
0.306,35.0
0.30605,31.0
0.31075,35.0
0.3108,39.0
0.31085,46.0
0.3109,28.0
0.31095,32.0
0.311,42.0
0.31105,37.0
0.31575,25.0
0.3158,36.0
0.31585,31.0
0.3159,32.0
0.31595,37.0
0.316,38.0
0.31605,30.0
0.32075,27.0
0.3208,43.0
0.32085,25.0
0.3209,34.0
0.32095,43.0
0.321,42.0
0.32105,33.0
0.32575,29.0
0.3258,39.0
0.32585,40.0
0.3259,32.0
0.32595,41.0
0.326,49.0
0.32605,30.0
0.33075,43.0
0.3308,31.0
0.33085,42.0
0.3309,30.0
0.33095,35.0
0.331,35.0
0.33105,29.0
0.33575,41.0
0.3358,38.0
0.33585,25.0
0.3359,29.0
0.33595,42.0
0.336,45.0
0.33605,23.0
0.34075,30.0
0.3408,29.0
0.34085,39.0
0.3409,33.0
0.34095,37.0
0.341,37.0
0.34105,27.0
0.34575,29.0
0.3458,44.0
0.34585,31.0
0.3459,35.0
0.34595,44.0
0.346,35.0
0.34605,28.0
0.35075,40.0
0.3508,37.0
0.35085,33.0
0.3509,33.0
0.35095,30.0
0.351,32.0
0.35105,26.0
0.35575,34.0
0.3558,39.0
0.35585,40.0
0.3559,37.0
0.35595,33.0
0.356,40.0
0.35605,30.0
0.3607,31.0
0.36075,32.0
0.3608,32.0
0.36085,37.0
0.3609,34.0
0.36095,44.0
0.361,45.0
0.3657,32.0
0.36575,42.0
0.3658,39.0
0.36585,33.0
0.3659,32.0
0.36595,30.0
0.366,50.0
0.3707,29.0
0.37075,42.0
0.3708,34.0
0.37085,36.0
0.3709,37.0
0.37095,35.0
0.371,37.0
0.37105,24.0
0.3757,26.0
0.37575,43.0
0.3758,38.0
0.37585,42.0
0.3759,31.0
0.37595,37.0
0.376,37.0
0.3807,36.0
0.38075,42.0
0.3808,34.0
0.38085,32.0
0.3809,29.0
0.38095,35.0
0.381,42.0
0.3857,38.0
0.38575,50.0
0.3858,32.0
0.38585,34.0
0.3859,48.0
0.38595,40.0
0.386,26.0
0.3907,38.0
0.39075,43.0
0.3908,40.0
0.39085,37.0
0.3909,40.0
0.39095,42.0
0.3957,34.0
0.39575,27.0
0.3958,28.0
0.39585,38.0
0.3959,34.0
0.39595,31.0
0.396,31.0
0.4007,41.0
0.40075,35.0
0.4008,38.0
0.40085,44.0
0.4009,29.0
0.40095,38.0
0.401,32.0
0.4057,28.0
0.40575,35.0
0.4058,36.0
0.40585,45.0
0.4059,34.0
0.40595,47.0
0.406,25.0
0.4107,48.0
0.41075,37.0
0.4108,36.0
0.41085,29.0
0.4109,49.0
0.41095,27.0
0.411,33.0
0.4157,34.0
0.41575,47.0
0.4158,39.0
0.41585,27.0
0.4159,34.0
0.41595,39.0
0.416,23.0
0.4207,44.0
0.42075,53.0
0.4208,29.0
0.42085,30.0
0.4209,41.0
0.42095,37.0
0.421,36.0
0.4257,36.0
0.42575,38.0
0.4258,36.0
0.42585,34.0
0.4259,45.0
0.42595,33.0
0.426,29.0
0.4307,42.0
0.43075,44.0
0.4308,36.0
0.43085,35.0
0.4309,29.0
0.43095,38.0
0.431,34.0
0.4357,30.0
0.43575,30.0
0.4358,33.0
0.43585,40.0
0.4359,35.0
0.43595,40.0
0.436,30.0
0.4407,32.0
0.44075,38.0
0.4408,37.0
0.44085,31.0
0.4409,40.0
0.44095,39.0
0.4457,35.0
0.44575,35.0
0.4458,42.0
0.44585,43.0
0.4459,31.0
0.44595,46.0
0.45065,21.0
0.4507,30.0
0.45075,49.0
0.4508,37.0
0.45085,31.0
0.4509,29.0
0.45095,40.0
0.451,23.0
0.45565,22.0
0.4557,34.0
0.45575,28.0
0.4558,33.0
0.45585,34.0
0.4559,53.0
0.45595,39.0
0.46065,28.0
0.4607,36.0
0.46075,39.0
0.4608,44.0
0.46085,41.0
0.4609,35.0
0.46095,36.0
0.46565,24.0
0.4657,40.0
0.46575,42.0
0.4658,42.0
0.46585,41.0
0.4659,26.0
0.46595,33.0
0.47065,23.0
0.4707,37.0
0.47075,33.0
0.4708,33.0
