,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",1167858,1332765,5899,5,5.3122875690460205
0,"h,v",1166546,1282511,549290,5,5.316478252410889
0,"h,d",1160919,1307041,282404,5,5.3506317138671875
0,"h,a",1164328,1306833,270111,5,5.3500285148620605
0,"h,r",1167353,1285354,290346,5,5.345404386520386
0,"h,l",1166026,1334699,263643,5,5.353722810745239
0,"v,h",1206903,1333533,511090,5,5.317721605300903
0,"v,v",1208784,1287768,5841,5,5.308611869812012
0,"v,d",1205877,1315261,249019,5,5.311813592910767
0,"v,a",1211518,1307537,267734,5,5.31243371963501
0,"v,r",1214340,1288471,260858,5,5.311481475830078
0,"v,l",1214532,1342278,259740,5,5.351303339004517
0,"d,h",1191327,1335598,259846,5,5.312270164489746
0,"d,v",1193339,1289053,277540,5,5.349728584289551
0,"d,d",1194309,1315133,532608,5,5.317834854125977
0,"d,a",1192015,1309957,7256,5,5.307727813720703
0,"d,r",1192808,1290241,287451,5,5.353364706039429
0,"d,l",1199825,1344303,257923,5,5.314354181289673
0,"a,h",1178419,1335788,253630,5,5.348445415496826
0,"a,v",1180555,1288656,278347,5,5.31086802482605
0,"a,d",1188798,1323450,7501,5,5.346197128295898
0,"a,a",1184860,1313586,527164,5,5.3524580001831055
0,"a,r",1185513,1292740,265896,5,5.351286888122559
0,"a,l",1185965,1342637,267275,5,5.355765342712402
0,"r,h",1168224,1345283,264806,5,5.353738784790039
0,"r,v",1162444,1290210,288290,5,5.347020626068115
0,"r,d",1166517,1322052,276841,5,5.314576148986816
0,"r,a",1163277,1314011,277606,5,5.354081869125366
0,"r,r",1167573,1292097,547949,5,5.353198766708374
0,"r,l",1166285,1341512,5360,5,5.310535192489624
0,"l,h",1222378,1346158,250657,5,5.3131818771362305
0,"l,v",1221193,1295582,275044,5,5.35401177406311
0,"l,d",1223813,1324689,268781,5,5.316239356994629
0,"l,a",1218592,1313942,257896,5,5.313967227935791
0,"l,r",1217476,1294892,6436,5,5.3477935791015625
0,"l,l",1218883,1345285,519243,5,5.356889247894287
