,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",945972,1086015,4069,5,5.252153158187866
0,"h,v",947251,1042161,447234,5,5.292580604553223
0,"h,d",948964,1065632,229753,5,5.256732702255249
0,"h,a",946475,1063954,220692,5,5.2823486328125
0,"h,r",945904,1084761,239400,5,5.25752592086792
0,"h,l",946523,1046240,209953,5,5.253302812576294
0,"v,h",987189,1089079,413225,5,5.259918928146362
0,"v,v",988706,1043247,4676,5,5.293734788894653
0,"v,d",993444,1066528,214822,5,5.259437322616577
0,"v,a",985258,1065180,205378,5,5.25884485244751
0,"v,r",990806,1084558,189905,5,5.2984349727630615
0,"v,l",984900,1048741,230471,5,5.253264904022217
0,"d,h",964296,1089470,199009,5,5.295125484466553
0,"d,v",965915,1043800,234160,5,5.2563252449035645
0,"d,d",966384,1067375,5920,5,5.291615009307861
0,"d,a",964724,1065629,426545,5,5.258605480194092
0,"d,r",964588,1084894,202488,5,5.256264686584473
0,"d,l",965143,1048109,226482,5,5.25592041015625
0,"a,h",969733,1088998,216968,5,5.257056474685669
0,"a,v",967004,1045092,220534,5,5.25062108039856
0,"a,d",969443,1066237,433280,5,5.259011745452881
0,"a,a",967238,1066211,5164,5,5.252553224563599
0,"a,r",966999,1086285,223705,5,5.25698184967041
0,"a,l",967457,1050997,216641,5,5.253302812576294
0,"r,h",948165,1089094,191024,5,5.2566187381744385
0,"r,v",949548,1044321,250525,5,5.255471467971802
0,"r,d",949823,1068009,231307,5,5.291985034942627
0,"r,a",950292,1068312,222500,5,5.296100378036499
0,"r,r",947686,1086399,6654,5,5.252405405044556
0,"r,l",946000,1046052,436961,5,5.256076335906982
0,"l,h",984553,1088683,222335,5,5.2579026222229
0,"l,v",983068,1039809,206724,5,5.293592691421509
0,"l,d",987205,1067897,208791,5,5.257174015045166
0,"l,a",979837,1063305,209210,5,5.251467704772949
0,"l,r",984310,1085699,423466,5,5.301853895187378
0,"l,l",984785,1045903,4038,5,5.251845121383667
