,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",711441,813776,2711,5,5.194074392318726
0,"h,v",711430,788140,336097,5,5.196470737457275
0,"h,d",712585,802616,172027,5,5.239428997039795
0,"h,a",711839,800525,166363,5,5.193592309951782
0,"h,r",714601,788560,177337,5,5.196918964385986
0,"h,l",710322,811824,160008,5,5.230949401855469
0,"v,h",736828,815636,311926,5,5.199304580688477
0,"v,v",741049,790346,2542,5,5.192540645599365
0,"v,d",737966,805655,153037,5,5.195116758346558
0,"v,a",734395,800978,161886,5,5.1953675746917725
0,"v,r",738899,788921,159104,5,5.197096347808838
0,"v,l",736725,817356,154989,5,5.196252346038818
0,"d,h",728651,815698,157557,5,5.196980237960815
0,"d,v",730845,793080,171556,5,5.19494366645813
0,"d,d",731887,808952,327411,5,5.196379661560059
0,"d,a",731839,804242,3426,5,5.233406066894531
0,"d,r",733910,792141,174344,5,5.192107200622559
0,"d,l",730377,818762,159138,5,5.237431049346924
0,"a,h",723918,819071,154831,5,5.236271381378174
0,"a,v",722787,793302,170423,5,5.23291802406311
0,"a,d",725209,811893,3641,5,5.230529546737671
0,"a,a",726339,806029,322860,5,5.236475944519043
0,"a,r",726455,796175,165032,5,5.195492267608643
0,"a,l",724510,820547,158999,5,5.193042755126953
0,"r,h",715211,819593,162755,5,5.237860202789307
0,"r,v",717049,795616,177753,5,5.193785905838013
0,"r,d",715640,808073,169215,5,5.195706605911255
0,"r,a",716103,807052,164405,5,5.196211814880371
0,"r,r",711672,793316,334629,5,5.194830656051636
0,"r,l",713663,820235,2386,5,5.2294909954071045
0,"l,h",745352,819329,149841,5,5.230418682098389
0,"l,v",746158,792325,167288,5,5.195694923400879
0,"l,d",746149,811428,163512,5,5.196103572845459
0,"l,a",744305,805235,160495,5,5.196619272232056
0,"l,r",745311,796637,3080,5,5.194729566574097
0,"l,l",745452,825343,316954,5,5.237517833709717
