,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",95034,110865,157,5,5.037827491760254
0,"h,v",94945,105921,44746,5,5.036365270614624
0,"h,d",95269,107794,22777,5,5.029216051101685
0,"h,a",95778,107705,22095,5,5.036775827407837
0,"h,r",95452,109775,24363,5,5.033783435821533
0,"h,l",95341,106733,20992,5,5.03473973274231
0,"v,h",99225,110594,41505,5,5.036273956298828
0,"v,v",98276,105483,224,5,5.035217761993408
0,"v,d",99197,107198,21054,5,5.035841703414917
0,"v,a",99005,107865,20426,5,5.035957098007202
0,"v,r",99841,109522,18755,5,5.073238134384155
0,"v,l",99799,106601,23326,5,5.035598039627075
0,"d,h",96871,109699,19836,5,5.032958030700684
0,"d,v",96605,106294,23263,5,5.071065187454224
0,"d,d",97221,107781,389,5,5.035233974456787
0,"d,a",96774,107446,42674,5,5.036152124404907
0,"d,r",96930,109137,20116,5,5.032499551773071
0,"d,l",96100,106384,22617,5,5.036010980606079
0,"a,h",97380,110445,21632,5,5.068756580352783
0,"a,v",97283,105591,22101,5,5.036052227020264
0,"a,d",97867,108065,43535,5,5.078163385391235
0,"a,a",96607,107970,275,5,5.035330772399902
0,"a,r",97696,109659,22381,5,5.0355212688446045
0,"a,l",97135,106390,21232,5,5.070225715637207
0,"r,h",95698,111452,19308,5,5.0345330238342285
0,"r,v",95600,106347,25235,5,5.068000555038452
0,"r,d",95580,107489,22816,5,5.035933017730713
0,"r,a",95129,108492,21455,5,5.036147594451904
0,"r,r",96041,109669,432,5,5.0687949657440186
0,"r,l",95246,106967,43651,5,5.036269664764404
0,"l,h",98989,110771,21788,5,5.034238338470459
0,"l,v",98946,106337,20881,5,5.032867908477783
0,"l,d",98869,108102,20958,5,5.0359721183776855
0,"l,a",98585,108242,21572,5,5.032357692718506
0,"l,r",98971,109850,42187,5,5.036297082901001
0,"l,l",100069,106632,193,5,5.03326940536499
