,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",234704,269928,632,5,5.0729660987854
0,"h,v",235664,259890,110203,5,5.106840133666992
0,"h,d",233721,264325,55951,5,5.071874141693115
0,"h,a",233378,262872,54700,5,5.071648597717285
0,"h,r",232844,256912,57003,5,5.070466756820679
0,"h,l",234056,269147,52614,5,5.108252286911011
0,"v,h",240845,267452,101753,5,5.110614538192749
0,"v,v",240381,255822,502,5,5.070171356201172
0,"v,d",241182,262630,49907,5,5.068488836288452
0,"v,a",240778,259830,52303,5,5.070970058441162
0,"v,r",239143,255440,50986,5,5.070846080780029
0,"v,l",238709,265056,50606,5,5.0708277225494385
0,"d,h",237131,264284,50970,5,5.108478546142578
0,"d,v",235215,255195,54901,5,5.109460830688477
0,"d,d",234252,259556,104142,5,5.108278036117554
0,"d,a",235160,259222,727,5,5.110287427902222
0,"d,r",234333,253978,55267,5,5.105663537979126
0,"d,l",234169,264099,51491,5,5.1125099658966064
0,"a,h",230742,263599,49823,5,5.070112228393555
0,"a,v",232505,253213,54099,5,5.110188722610474
0,"a,d",231243,258822,850,5,5.066983938217163
0,"a,a",231293,257810,102886,5,5.112630367279053
0,"a,r",231944,252788,52255,5,5.107252359390259
0,"a,l",231922,263018,49978,5,5.070591688156128
0,"r,h",227105,261836,52721,5,5.106112480163574
0,"r,v",227060,253258,55709,5,5.112037181854248
0,"r,d",225758,257939,53087,5,5.0699028968811035
0,"r,a",227490,256862,51543,5,5.0632004737854
0,"r,r",225527,251974,105632,5,5.110710859298706
0,"r,l",227020,263395,448,5,5.105053424835205
0,"l,h",236345,262236,47230,5,5.0731611251831055
0,"l,v",236785,254034,53558,5,5.070103406906128
0,"l,d",236361,257022,51016,5,5.110374450683594
0,"l,a",235822,257858,50979,5,5.070326089859009
0,"l,r",235387,251561,574,5,5.068917512893677
0,"l,l",235620,261202,100201,5,5.1077635288238525
