,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",485319,553624,1662,5,5.136081695556641
0,"h,v",484502,537093,228593,5,5.13744854927063
0,"h,d",485975,546209,116288,5,5.176439046859741
0,"h,a",484095,545446,113753,5,5.135828018188477
0,"h,r",483904,536095,120583,5,5.171817302703857
0,"h,l",484758,554037,109378,5,5.152122974395752
0,"v,h",500575,555065,211999,5,5.174042463302612
0,"v,v",498231,536515,1368,5,5.13357400894165
0,"v,d",498884,546683,104174,5,5.136969327926636
0,"v,a",501555,544795,108547,5,5.175564765930176
0,"v,r",500979,535510,107122,5,5.136794567108154
0,"v,l",499658,554956,105340,5,5.1362833976745605
0,"d,h",491570,553816,105223,5,5.134130954742432
0,"d,v",494412,537603,116751,5,5.1356072425842285
0,"d,d",496024,547323,221342,5,5.137497425079346
0,"d,a",493278,545481,2097,5,5.134148597717285
0,"d,r",494945,535884,117416,5,5.174652814865112
0,"d,l",495293,555817,107146,5,5.136436223983765
0,"a,h",489398,553799,104859,5,5.132105588912964
0,"a,v",487224,534888,114146,5,5.172874450683594
0,"a,d",487844,547309,2089,5,5.133774757385254
0,"a,a",488137,544931,216924,5,5.136258602142334
0,"a,r",489704,537545,111446,5,5.135311126708984
0,"a,l",489993,555339,106198,5,5.1348395347595215
0,"r,h",481906,555719,109715,5,5.1759350299835205
0,"r,v",482449,536701,119410,5,5.151417970657349
0,"r,d",482635,547022,114777,5,5.136053800582886
0,"r,a",480853,544439,110131,5,5.1357581615448
0,"r,r",479255,532604,224450,5,5.136275291442871
0,"r,l",481395,554880,1262,5,5.133746862411499
0,"l,h",501123,554599,99522,5,5.130630016326904
0,"l,v",500537,535300,112737,5,5.133885383605957
0,"l,d",500040,545939,107807,5,5.132936477661133
0,"l,a",500196,542592,107295,5,5.172921419143677
0,"l,r",501120,534305,1632,5,5.134451866149902
0,"l,l",498569,553224,212210,5,5.1774585247039795
