,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",712955,819570,2509,5,5.193730115890503
0,"h,v",712588,786490,336563,5,5.195523023605347
0,"h,d",713069,802577,171717,5,5.229720592498779
0,"h,a",714170,801171,165757,5,5.233675718307495
0,"h,r",714394,817908,179562,5,5.193919897079468
0,"h,l",712040,787715,158041,5,5.194142580032349
0,"v,h",743076,820831,311228,5,5.23705267906189
0,"v,v",739019,785058,3082,5,5.206961393356323
0,"v,d",742590,802994,160127,5,5.196108818054199
0,"v,a",741951,802820,153304,5,5.233738422393799
0,"v,r",742453,816305,141724,5,5.233734130859375
0,"v,l",741835,790236,173118,5,5.194856405258179
0,"d,h",731712,825323,150184,5,5.196457624435425
0,"d,v",728849,787809,175420,5,5.191629648208618
0,"d,d",727362,805141,3929,5,5.23383641242981
0,"d,a",726604,802940,320129,5,5.1979875564575195
0,"d,r",729744,817288,152262,5,5.231178522109985
0,"d,l",728958,792588,169145,5,5.230713844299316
0,"a,h",728445,820095,162584,5,5.232510805130005
0,"a,v",727558,787261,165518,5,5.2296364307403564
0,"a,d",727547,804112,325501,5,5.194958925247192
0,"a,a",727171,802877,3369,5,5.233703136444092
0,"a,r",727881,818372,169180,5,5.231892824172974
0,"a,l",729611,792565,163677,5,5.194641828536987
0,"r,h",717480,824513,142626,5,5.195793628692627
0,"r,v",716638,791745,189656,5,5.237610101699829
0,"r,d",714050,802851,173622,5,5.2332165241241455
0,"r,a",713913,804243,163078,5,5.1952831745147705
0,"r,r",718553,821535,4663,5,5.228737831115723
0,"r,l",717741,793608,330524,5,5.196550369262695
0,"l,h",739450,823089,166341,5,5.231323719024658
0,"l,v",742060,789238,155550,5,5.193299055099487
0,"l,d",740843,806995,154528,5,5.190855979919434
0,"l,a",741469,804932,160827,5,5.1936564445495605
0,"l,r",742041,818819,318263,5,5.239157438278198
0,"l,l",740881,793743,2736,5,5.193698167800903
