,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",1162413,1335494,5508,5,5.308054447174072
0,"h,v",1161366,1284781,548775,5,5.357334613800049
0,"h,d",1168638,1310235,282821,5,5.3541100025177
0,"h,a",1165146,1306884,272183,5,5.312988042831421
0,"h,r",1166445,1335912,294748,5,5.31274676322937
0,"h,l",1168824,1286760,259241,5,5.312526226043701
0,"v,h",1218638,1344186,511844,5,5.362868547439575
0,"v,v",1218285,1284344,6537,5,5.309097766876221
0,"v,d",1220966,1312861,266554,5,5.313287019729614
0,"v,a",1218485,1311744,251904,5,5.334465503692627
0,"v,r",1215871,1333028,233783,5,5.310253381729126
0,"v,l",1217068,1289844,283929,5,5.312920570373535
0,"d,h",1191693,1344237,244448,5,5.313129186630249
0,"d,v",1192866,1285201,288452,5,5.309722900390625
0,"d,d",1195682,1317539,8060,5,5.345545291900635
0,"d,a",1193526,1312400,526867,5,5.3526716232299805
0,"d,r",1193746,1338769,251642,5,5.315539598464966
0,"d,l",1191103,1288526,279760,5,5.354190349578857
0,"a,h",1190218,1343903,269563,5,5.356728553771973
0,"a,v",1193112,1288007,273875,5,5.354791879653931
0,"a,d",1195547,1316904,533672,5,5.352761507034302
0,"a,a",1193892,1313812,7074,5,5.310254812240601
0,"a,r",1193749,1342146,276722,5,5.316004753112793
0,"a,l",1197925,1291700,265190,5,5.357646942138672
0,"r,h",1171634,1348485,237881,5,5.3554863929748535
0,"r,v",1173343,1286851,308466,5,5.352222919464111
0,"r,d",1169966,1315089,285917,5,5.309762954711914
0,"r,a",1170257,1316092,269398,5,5.315120220184326
0,"r,r",1171609,1342244,8977,5,5.350067615509033
0,"r,l",1171907,1290420,539279,5,5.31354284286499
0,"l,h",1223040,1352685,274151,5,5.3178465366363525
0,"l,v",1220936,1285277,256447,5,5.313846588134766
0,"l,d",1222098,1317631,255631,5,5.356882333755493
0,"l,a",1220024,1315389,265047,5,5.315590143203735
0,"l,r",1219484,1342345,522997,5,5.319427967071533
0,"l,l",1216949,1293158,5817,5,5.3082404136657715
