,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",980238,1117875,4527,5,5.305089235305786
0,"h,v",979691,1075498,460631,5,5.266035795211792
0,"h,d",977524,1100030,236294,5,5.263465881347656
0,"h,a",978495,1092980,228914,5,5.29919171333313
0,"h,r",979688,1076723,243247,5,5.31273627281189
0,"h,l",977833,1120067,221425,5,5.300523996353149
0,"v,h",1010254,1116579,427130,5,5.305395603179932
0,"v,v",1013516,1075178,4243,5,5.302631378173828
0,"v,d",1012211,1099938,209874,5,5.264060020446777
0,"v,a",1011012,1095131,221925,5,5.258842468261719
0,"v,r",1014389,1074192,217653,5,5.263519763946533
0,"v,l",1011586,1120682,215995,5,5.265028476715088
0,"d,h",995934,1115194,216380,5,5.301218032836914
0,"d,v",1001455,1074902,234238,5,5.263575553894043
0,"d,d",998670,1099547,446955,5,5.308759450912476
0,"d,a",997447,1092696,5248,5,5.295641660690308
0,"d,r",1002253,1076223,240279,5,5.299276113510132
0,"d,l",998136,1118798,215373,5,5.300217390060425
0,"a,h",986036,1114281,212987,5,5.263124704360962
0,"a,v",984576,1076182,231464,5,5.3027870655059814
0,"a,d",985070,1097184,5624,5,5.295690059661865
0,"a,a",986095,1092587,437370,5,5.307281017303467
0,"a,r",987357,1074758,221837,5,5.301995038986206
0,"a,l",987228,1117629,220327,5,5.3029515743255615
0,"r,h",971599,1115590,220177,5,5.302354574203491
0,"r,v",971503,1075330,240585,5,5.296422481536865
0,"r,d",969363,1099575,225076,5,5.261688470840454
0,"r,a",969679,1095663,224124,5,5.261477947235107
0,"r,r",968279,1074885,455728,5,5.2617881298065186
0,"r,l",969093,1116990,4001,5,5.295571327209473
0,"l,h",1013706,1115660,206016,5,5.3025548458099365
0,"l,v",1012001,1077167,228069,5,5.259874105453491
0,"l,d",1011395,1099968,225303,5,5.299183130264282
0,"l,a",1012736,1094514,219193,5,5.262405872344971
0,"l,r",1015096,1073924,4753,5,5.259262561798096
0,"l,l",1014691,1118154,431421,5,5.266097068786621
