,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",472880,543739,1421,5,5.134048938751221
0,"h,v",471909,522575,223381,5,5.168695688247681
0,"h,d",473614,533830,115861,5,5.134256362915039
0,"h,a",472439,530810,109535,5,5.170030832290649
0,"h,r",472507,540326,119154,5,5.131796360015869
0,"h,l",472795,524963,105039,5,5.133686542510986
0,"v,h",490719,542508,205559,5,5.135725975036621
0,"v,v",492031,521642,1719,5,5.132298469543457
0,"v,d",491080,531550,105907,5,5.131290912628174
0,"v,a",491758,531810,101383,5,5.169139862060547
0,"v,r",490351,539052,92859,5,5.1300883293151855
0,"v,l",491112,523455,114986,5,5.133264541625977
0,"d,h",480694,545081,97920,5,5.133307933807373
0,"d,v",480622,522739,116995,5,5.133631706237793
0,"d,d",481224,531221,2317,5,5.130042552947998
0,"d,a",481869,531972,212693,5,5.174219131469727
0,"d,r",481073,540197,101434,5,5.12767767906189
0,"d,l",482786,524261,111830,5,5.133149862289429
0,"a,h",482787,544632,107576,5,5.133172035217285
0,"a,v",482213,521461,109578,5,5.133406162261963
0,"a,d",482191,532936,215520,5,5.135264158248901
0,"a,a",482455,532770,1899,5,5.1683948040008545
0,"a,r",479534,539323,109795,5,5.133009195327759
0,"a,l",481094,523798,108922,5,5.131568431854248
0,"r,h",474791,542581,94206,5,5.1327900886535645
0,"r,v",471804,520931,124324,5,5.173693418502808
0,"r,d",473089,530953,109646,5,5.171660423278809
0,"r,a",471831,531637,109239,5,5.129178524017334
0,"r,r",471800,541268,2733,5,5.129805088043213
0,"r,l",472490,523385,217842,5,5.133663892745972
0,"l,h",487790,541647,110183,5,5.173442602157593
0,"l,v",489417,521413,102936,5,5.166831970214844
0,"l,d",488356,530312,105167,5,5.133139371871948
0,"l,a",487469,528880,104821,5,5.132117986679077
0,"l,r",488528,541664,209689,5,5.134757041931152
0,"l,l",490929,522531,1408,5,5.131526470184326
